שנה ראשונה,מספר סעיף,שם הסעיף,הוצאה ברוטו,"מספרי סעיפים בשנה הקודמת, מופרדים בפסיקים"
1993,C0000,הכנסות המדינה,100817821,
1995,C0046,חוק חיילים משוחררים,398250,
1996,C0017,תאום הפעולות בשטחים,163644,
1997,C0054,רשויות פיקוח,12273,
1998,C0094,בתי חולים ממשלתים,3957508,
1999,C0012,גמלאות ופיצויים,3824731,
2002,C0007,משרד לביטחון פנים,6287160,C0007
2007,C0056,נציבות שוויון זכויות,13284,C0056
2007,C0098,הוצאות מינהל מקרקעי,14400000,C0098
2008,C0041,רשות ממשלתית למים      ולביוב,214188,"C0058, C003423, C003424, C003420"
2009,C0068,"רשות האוכלוסין, ההגירה ומעברי הגבול",461609,"C0068, C000604"
2014,C0036,משרד הכלכלה,7412816,C0036
1993,C000001,מס הכנסה,25380000,
1993,C000003,מס שבח,430000,
1993,C000004,מס רכישה,800000,
1993,C000005,מס רכוש,460000,
1993,C000012,מסי הוצאה,18627000,
1993,C000013,מס קניה,5340000,
1993,C000018,מס דלק,2550000,
1993,C000020,מס בולים,310000,
1993,C000024,אגרות כלי רכב,520000,
1993,C000025,אגרות ורשיונות אחרים,600000,
1993,C000028,הפחתות מסים שטרם נקבעו,-780000,
1993,C000034,"ריבית במט""ח",205000,
1993,C000035,גביית ריבית,1037000,
1993,C000037,ריבית ממפעלים עסקיים,5200,
1993,C000044,תמלוגים מחברות ממשלתיות,364000,
1993,C000048,הכנסה מיועדת מעל האומדן,52000,
1993,C000051,גביית קרן,2482320,
1993,C000072,הפרשות מפעלים עסקיים,14730,
1993,C000076,הכנסות הון בארץ,1800000,
1993,C000082,הכנסה מאמיסיות והפקדות,15469497,
1993,C000090,"מילוות המענקים מחו""ל",14051214,
1993,C006002,תכנית פיתוח חינוך,327421,
1994,C001101,ניהול ומטה,7482,
1994,C001102,ביצוע ביקורת,42508,
1994,C001103,נציבות תלונות הציבור,10044,
1994,C001104,הוצאות חד פעמיות,1500,
1994,C006006,חידוש מבנים,62856,
1994,C006704,הצטיידות,2948,
1994,C006705,פרוייקט מיחשוב מרכזי,4850,
1995,C000050,דמי שימוש בנכסים ממשלתי,125000,
1995,C001720,"מת""ק איו""ש",2284,
1995,C001730,"מת""ק אזח""ע",46983,
1995,C002420,חוק ביטוח בריאות ממלכתי,909262,
1995,C003007,רזרבה,51042,
1995,C004601,חוק חיילים משוחררים,398250,
1995,C006706,רזרבה,22061,
1996,C000073,הפרשות לפנסיה - חברות,13000,C000073
1996,C001105,רזרבה,1480,
1996,C001710,"מרת""ק",22546,
1996,C001740,רזרבה אוצרית,22412,
1996,C002906,שכר עובדי הנהלת המשרד  והמחוזות,92220,
1996,C002908,פעולות ההנהלה ושירותי  המטה,144796,
1996,C003804,פעולות שונות לפיתוח    שווקים ליצוא,66562,
1996,C003815,מימוש ערבויות שלא      במסגרת תיקון 39 לחוק   לעידוד השקעות הון,1650,
1996,C005401,רשות הגבלים עיסקיים,6244,
1997,C000043,תמלוגים מאוצרות טבע,70000,
1997,C000045,דיוידנדים מחברות ממשלתי,800000,
1997,C000046,"החזר ע""ח שנים קודמות",60000,
1997,C000047,הכנסות שונות,550000,
1997,C000049,העברה מחלק ב',17886573,
1997,C000075,הכנסות הון,4000000,
1997,C000081,מלוה מהמוסד לבטוח לאומי,6871811,
1997,C000095,העברה לחלק א',-17886573,
1997,C003606,עידוד סחר חוץ,3461,
1997,C003801,פתוח שוקים ליצוא תעשיתי,16367,
1997,C005402,רשות לשרותים ציבוריים -חשמל,5652,
1998,C000002,מיסים על הוצאות שכר,4680000,
1998,C003813,תמיכה בתעשיה,212116,C003813
1998,C009401,"מרכז רפואי ע""ש ד""ר     שיבא תל-השומר (139+    1189 מיטות) (+25       טרמינלי)",760640,
1998,C009402,"בי""ח ע""ש רמב""ם חיפה    837+50",560840,
1998,C009403,בית חולים נהריה        474+17 מיטות),302160,
1998,C009404,"בי""ח ע""ש וולפסון       תל-גיבורים (595+30)",370430,
1998,C009405,"בי""ח ע""ש אסף הרופא     צריפין (682+126)",399560,
1998,C009406,"בית חולים ע""ש הלל יפה  חדרה (394+14 מיטות)",213450,
1998,C009407,"מרכז רפואי ע""ש ברזילי  אשקלון (407+55)",215770,
1998,C009408,"בי""ח חולים פוריה טבריה (210 מיטות)",110850,
1998,C009409,"בית חולים ע""ש זיו צפת  (355+20 מיטות)",153030,
1999,C001202,"גמלאות עובדי המדינה ע""פחוק הגמלאות",3318980,
1999,C001203,"גמלאות ע""פ חוק גמלאות  לנושאי משרה",172058,
1999,C001204,"גמלאות ע""פ החלטת ועדת  הכספים",776,
1999,C001205,"גמלאות ע""פ הסדרים      חיצוניים",172318,"C0012010308, C0012020106"
1999,C001206,מיכון גמלאות לעובדי    המדינה,6421,C00120109
1999,C001207,פיצויים לעובדי המדינה,62789,C00120111
1999,C001208,רזרבה להתייקרויות,91389,C00120112
2000,C000011,מכס והיטל על היבוא,9790000,C000011
2000,C000015,מס טבק - בלו,1010000,C000015
2000,C000202,חברי הכנסת,75237,"C00020101, C00020109, C0002010223, C0002010204, C0002010210, C0002010202, C0002010203"
2000,C000203,פעולות הכנסת,157083,"C00020104, C00020107, C0002010208, C0002010216, C0002010219, C0002010218, C0002010222, C0002010322, C0002010314, C0002010321"
2000,C000204,רזרבה,7500,C00020105
2000,C000715,"גמלאות משטרה ושב""ס",1025049,C000715
2000,C009471,"הכנסות מרכז רפואי      ע""ש ד""ר שיבא תל-השומר",878481,סעיף שבוטל (עוד באותה שנה)
2000,C009473,"הכנסות בי""ח וולפסון    תל-גיבורים",407547,סעיף שבוטל (עוד באותה שנה)
2000,C009474,"הכנסות בי""ח נהריה",358089,סעיף שבוטל (עוד באותה שנה)
2000,C009475,"הכנסות בי""ח ע""ש אסף    הרופא צריפין",446594,סעיף שבוטל (עוד באותה שנה)
2000,C009476,"הכנסות בי""ח הלל יפה    חדרה",236805,סעיף שבוטל (עוד באותה שנה)
2000,C009477,"הכנסות מרכז רפואי ע""ש  ברזילי אשקלון",259719,סעיף שבוטל (עוד באותה שנה)
2000,C009478,"הכנסות בי""ח פוריה",128190,סעיף שבוטל (עוד באותה שנה)
2000,C009479,"הכנסות בי""ח צפת",172701,סעיף שבוטל (עוד באותה שנה)
2000,C009481,"הכנסות מרכז רפואי      עירוני ממשלתי ת""א יפו",712667,סעיף שבוטל (עוד באותה שנה)
2000,C009572,הכנסות נמל חדרה,22169,C009572
2000,C009872,הכנסות שוטפות,433876,
2000,C009873,הכנסות הון,4551822,
2002,C000701,תחום פעולה כללי-       משרד לביטחון פנים,88815,C000701
2002,C000710,שירות בתי הסוהר,789028,C000710
2002,C002310,שירותים אישיים וחברתיים,1157556,C002310
2002,C002608,חומרים מסוכנים,10485,C002608
2002,C003202,תמיכות בייצור חקלאי,239599,C003202
2002,C008910,לשכת פרסום ממשלתית,202628,C008910
2002,C008990,הכנסות לשכת הפרסום     הממשלתית,202628,
2002,C009412,העברת הכנסות בתי חולים ממשלתיים למאגר הכנסות  מרכזיות,327138,
2003,C000207,"שירותי משרד ליו""ר כנסת לשעבר",700,
2003,C002028,חינוך התישבותי,1896643,C002028
2003,C002031,תרבות,80438,C002031
2003,C008306,השקעות בחברות,537720,C008306
2003,C008904,רזרבות להתייקרויות,2222,
2003,C008989,הכנסות המדפיס,74725,
2004,C002038,העברות למוסדות תורניים,563509,"C220404,C00220411,C00220421,C00220415,C00220412"
2004,C003205,תמיכות במוצרים ציבוריים,43387,
2004,C003210,הוצאות משק הדלק,86376,
2004,C009472,"הכנסות רמב""ם",948297,
2005,C000205,תוספת מבנה,41700, 
2005,C001220,רזרבה,307630,
2005,C002033,טלויזיה חינוכית,115346,C002033
