שנה ראשונה,מספר סעיף,שם הסעיף,הוצאה ברוטו,"מספרי סעיפים בשנה הקודמת, מופרדים בפסיקים",לינק לסעיף,לינק לסעיף אב משנה קודמת,הערות מועתקות
1993,C0000,הכנסות המדינה,100817821,,link,link,
1995,C0046,חוק חיילים משוחררים,318250,,link,link,
1996,C0017,תאום הפעולות בשטחים,595864,,link,link,
1996,C0098,הוצאות מינהל מקרקעי    ישראל,4541814,,link,link,
1997,C0054,רשויות פיקוח,33583,,link,link,
1998,C0094,בתי חולים ממשלתים,3686492,,link,link,
1999,C0012,גמלאות ופיצויים,4064731,,link,link,
2004,C0036,משרד התעשייה המסחר,3421932,,link,link,
2007,C0026,המשרד להגנת הסביבה,930178,,link,link,
2007,C0068,היחידה לעניין העובדים,122848,,link,link,
2014,C0019,"משרד המדע והחלל, התרבות",2303789,,link,link,
2014,C0023,משרד הרווחה והשירותים  החברתיים,13001542,,link,link,
2014,C0034,משרד האנרגיה והמים,475068,,link,link,
2014,C0040,"משרד התחבורה, התשתיות  הלאומיות והבטיחות      בדרכים",996558,,link,link,
1993,C000001,מס הכנסה,25380000,,link,link,
1993,C000003,מס שבח,430000,,link,link,
1993,C000004,מס רכישה,800000,,link,link,
1993,C000013,מס קניה,5340000,,link,link,
1993,C000018,מס דלק,2550000,,link,link,
1993,C000025,אגרות ורשיונות אחרים,600000,,link,link,
1993,C000034,"ריבית במט""ח",205000,,link,link,
1993,C000035,גביית ריבית,1037000,,link,link,
1993,C000037,ריבית ממפעלים עסקיים,5200,,link,link,
1993,C000044,תמלוגים מחברות ממשלתיות,364000,,link,link,
1993,C000048,הכנסה מיועדת מעל האומדן,52000,,link,link,
1993,C000051,גביית קרן,2482320,,link,link,
1993,C000090,"מילוות המענקים מחו""ל",14051214,,link,link,
1993,C006002,תכנית פיתוח חינוך,803332,,link,link,
1994,C001104,הוצאות חד פעמיות,1500,,link,link,
1994,C006006,חידוש מבנים,85000,,link,link,
1994,C006704,הצטיידות,7937,,link,link,
1994,C006705,פרוייקט מיחשוב מרכזי,9519,,link,link,
1994,C007069,פעולות שוטפות,579849,,link,link,
1995,C000050,דמי שימוש בנכסים ממשלתי,125000,,link,link,
1995,C002420,חוק ביטוח בריאות ממלכתי,2119262,,link,link,
1995,C004601,חוק חיילים משוחררים,318250,,link,link,
1996,C001105,רזרבה,1480,,link,link,
1996,C001710,"מרת""ק",20286,,link,link,
1996,C001740,רזרבה אוצרית,9186,,link,link,
1996,C003703,המינהל לשיווק התיירות  לישראל,134308,,link,link,
1996,C008306,השקעות בחברות          בטחוניות ואחרות,682687,,link,link,
1997,C000043,תמלוגים מאוצרות טבע,70000,,link,link,
1997,C000045,דיוידנדים מחברות ממשלתי,800000,,link,link,
1997,C000046,"החזר ע""ח שנים קודמות",60000,,link,link,
1997,C000047,הכנסות שונות,550000,,link,link,
1997,C000049,העברה מחלק ב',17886573,,link,link,
1997,C000053,"גביית קרן במט""ח",100000,,link,link,
1997,C000075,הכנסות הון,4000000,,link,link,
