שנה,קוד סעיף,שם סעיף,קוד תחום,שם תחום,קוד תוכנית,שם תוכנית,קוד תקנה,שם תקנה,"תקנה פעילה / פש""ח",סוג הוצאה,תקציב מקורי - הוצאות נטו,תקציב מקורי - הוצאה מותנית בהכנסה,תקציב מקורי - הכנסה מיועדת,תקציב מקורי - הרשאה להתחייב,תקציב מקורי - שיא כא,תקציב מקורי - עבצ,תקציב מקורי - כמויות,תקציב מאושר - הוצאות נטו,תקציב מאושר - הוצאה מותנית בהכנסה,תקציב מאושר - הכנסה מיועדת,תקציב מאושר - הרשאה להתחייב,תקציב מאושר - שיא כא,תקציב מאושר - עבצ,תקציב מאושר - כמויות,ביצוע - מזומן
2012,00,הכנסות המדינה,00-01,מס הכנסה,00-01-01,מס הכנסה,00-01-01-01,מס הכנסה,תקנה פעילה,הכנסה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,00,הכנסות המדינה,00-01,מס הכנסה,00-01-02,מס הכנסה שכירים,00-01-02-01,מס הכנסה שכירים,תקנה פעילה,הכנסה,"37,300,000",0,0,0,0,0,0,"37,300,000",0,0,0,0,0,0,"56,152,403"
2012,00,הכנסות המדינה,00-01,מס הכנסה,00-01-03,מס הכנסה סקטור עסקי,00-01-03-01,מס הכנסה חברות,תקנה פעילה,הכנסה,"33,500,000",0,0,0,0,0,0,"33,500,000",0,0,0,0,0,0,"24,597,665"
2012,00,הכנסות המדינה,00-01,מס הכנסה,00-01-03,מס הכנסה סקטור עסקי,00-01-03-02,מס הכנסה עצמאים,תקנה פעילה,הכנסה,"9,600,000",0,0,0,0,0,0,"9,600,000",0,0,0,0,0,0,"6,743,238"
2012,00,הכנסות המדינה,00-01,מס הכנסה,00-01-03,מס הכנסה סקטור עסקי,00-01-03-03,מס הכנסה מנהלי חברות,תקנה פעילה,הכנסה,"9,900,000",0,0,0,0,0,0,"9,900,000",0,0,0,0,0,0,0
2012,00,הכנסות המדינה,00-01,מס הכנסה,00-01-03,מס הכנסה סקטור עסקי,00-01-03-04,הכנסות משוק ההון,תקנה פעילה,הכנסה,"3,700,000",0,0,0,0,0,0,"3,700,000",0,0,0,0,0,0,"2,409,955"
2012,00,הכנסות המדינה,00-02,מיסים על הוצאות שכר,00-02-01,מס מעסיקים,00-02-01-01,"מע""מ על מלכרים ומוסדות",תקנה פעילה,הכנסה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,00,הכנסות המדינה,00-02,מיסים על הוצאות שכר,00-02-02,"מע""מ על מלכרים",00-02-02-01,"מע""מ על מלכרים",תקנה פעילה,הכנסה,"8,700,000",0,0,0,0,0,0,"8,700,000",0,0,0,0,0,0,"9,491,222"
2012,00,הכנסות המדינה,00-02,מיסים על הוצאות שכר,00-02-03,"מע""מ על פיננסים",00-02-03-01,"מע""מ על פיננסים",תקנה פעילה,הכנסה,"2,600,000",0,0,0,0,0,0,"2,600,000",0,0,0,0,0,0,"2,462,189"
2012,00,הכנסות המדינה,00-03,מס שבח,00-03-01,מס שבח,00-03-01-01,מס שבח,תקנה פעילה,הכנסה,"2,300,000",0,0,0,0,0,0,"2,300,000",0,0,0,0,0,0,"1,932,611"
2012,00,הכנסות המדינה,00-04,מס רכישה,00-04-01,מס רכישה,00-04-01-01,מס רכישה,תקנה פעילה,הכנסה,"4,100,000",0,0,0,0,0,0,"4,100,000",0,0,0,0,0,0,"2,964,924"
2012,00,הכנסות המדינה,00-05,מס רכוש,00-05-01,מס רכוש,00-05-01-01,מס רכוש,תקנה פעילה,הכנסה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"42,699"
2012,00,הכנסות המדינה,00-06,מס מכירה,00-06-01,מס מכירה,00-06-01-01,מס מכירה,תקנה פעילה,הכנסה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,058"
2012,00,הכנסות המדינה,00-07,מס מעסיקים,00-07-01,מס מעסיקים,00-07-01-01,מס מעסיקים,תקנה פעילה,הכנסה,"100,000",0,0,0,0,0,0,"100,000",0,0,0,0,0,0,"405,387"
2012,00,הכנסות המדינה,00-08,מיסי הכנסה-עדכון מחירים,00-08-01,מיסי הכנסה-עדכון מחירים,00-08-01-01,מיסי הכנסה-עדכון מחירים,תקנה פעילה,הכנסה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,00,הכנסות המדינה,00-09,מיסי הכנסה-העמקת הגביה,00-09-01,מיסי הכנסה-העמקת הגביה,00-09-01-01,מיסי הכנסה-העמקת הגביה,תקנה פעילה,הכנסה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,00,הכנסות המדינה,00-11,מכס והיטל על היבוא,00-11-01,מכס והיטל על היבוא,00-11-01-01,מכס והיטל על היבוא,תקנה פעילה,הכנסה,"3,100,000",0,0,0,0,0,0,"3,100,000",0,0,0,0,0,0,"2,550,966"
