שנה,קוד סעיף,שם סעיף,קוד תחום,שם תחום,קוד תוכנית,שם תוכנית,קוד תקנה,שם תקנה,שם תקנה מלא,"תקנה פעילה / פש""ח",סוג הוצאה,מקורי - נטו,מקורי - הוצאה מותנית,תקציב מקורי - הכנסה מיועדת,מקורי - הרשאה,תקציב מקורי - שיא כא,תקציב מקורי - עבצ,תקציב מקורי - כמויות,תקציב מאושר - הוצאות נטו,תקציב מאושר - הוצאה מותנית בהכנסה,תקציב מאושר - הכנסה מיועדת,תקציב מאושר - הרשאה להתחייב,תקציב מאושר - שיא כא,תקציב מאושר - עבצ,תקציב מאושר - כמויות,ביצוע - מזומן
2013,00,הכנסות המדינה,00-01,מס הכנסה,00-01-01,מס הכנסה,00-01-01-01,מס הכנסה,מס הכנסה,תקנה פעילה,הכנסה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2013,00,הכנסות המדינה,00-01,מס הכנסה,00-01-02,מס הכנסה שכירים,00-01-02-01,מס הכנסה שכירים,מס הכנסה שכירים,תקנה פעילה,הכנסה,"36,600,000",0,0,0,0,0,0,"36,600,000",0,0,0,0,0,0,"57,211,264"
2013,00,הכנסות המדינה,00-01,מס הכנסה,00-01-03,מס הכנסה סקטור עסקי,00-01-03-01,מס הכנסה חברות,מס הכנסה חברות,תקנה פעילה,הכנסה,"29,000,000",0,0,0,0,0,0,"29,000,000",0,0,0,0,0,0,"29,242,798"
2013,00,הכנסות המדינה,00-01,מס הכנסה,00-01-03,מס הכנסה סקטור עסקי,00-01-03-02,מס הכנסה עצמאים,מס הכנסה עצמאים,תקנה פעילה,הכנסה,"11,800,000",0,0,0,0,0,0,"11,800,000",0,0,0,0,0,0,"11,442,575"
2013,00,הכנסות המדינה,00-01,מס הכנסה,00-01-03,מס הכנסה סקטור עסקי,00-01-03-03,מס הכנסה מנהלי חברות,מס הכנסה מנהלי חברות,תקנה פעילה,הכנסה,"9,800,000",0,0,0,0,0,0,"9,800,000",0,0,0,0,0,0,0
2013,00,הכנסות המדינה,00-01,מס הכנסה,00-01-03,מס הכנסה סקטור עסקי,00-01-03-04,הכנסות משוק ההון,הכנסות משוק ההון,תקנה פעילה,הכנסה,"6,900,000",0,0,0,0,0,0,"6,900,000",0,0,0,0,0,0,"3,502,900"
2013,00,הכנסות המדינה,00-02,מיסים על הוצאות שכר,00-02-01,מס מעסיקים,00-02-01-01,"מע""מ על מלכרים ומוסדות","מע""מ על מלכרים ומוסדות",תקנה פעילה,הכנסה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2013,00,הכנסות המדינה,00-02,מיסים על הוצאות שכר,00-02-02,"מע""מ על מלכרים",00-02-02-01,"מע""מ על מלכרים","מע""מ על מלכרים",תקנה פעילה,הכנסה,"8,900,000",0,0,0,0,0,0,"8,900,000",0,0,0,0,0,0,"9,695,858"
2013,00,הכנסות המדינה,00-02,מיסים על הוצאות שכר,00-02-03,"מע""מ על פיננסים",00-02-03-01,"מע""מ על פיננסים","מע""מ על פיננסים",תקנה פעילה,הכנסה,"2,900,000",0,0,0,0,0,0,"2,900,000",0,0,0,0,0,0,"2,674,052"
2013,00,הכנסות המדינה,00-03,מס שבח,00-03-01,מס שבח,00-03-01-01,מס שבח,מס שבח,תקנה פעילה,הכנסה,"2,200,000",0,0,0,0,0,0,"2,200,000",0,0,0,0,0,0,"2,547,356"
2013,00,הכנסות המדינה,00-04,מס רכישה,00-04-01,מס רכישה,00-04-01-01,מס רכישה,מס רכישה,תקנה פעילה,הכנסה,"4,300,000",0,0,0,0,0,0,"4,300,000",0,0,0,0,0,0,"3,401,011"
2013,00,הכנסות המדינה,00-05,מס רכוש,00-05-01,מס רכוש,00-05-01-01,מס רכוש,מס רכוש,תקנה פעילה,הכנסה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"42,367"
2013,00,הכנסות המדינה,00-06,מס מכירה,00-06-01,מס מכירה,00-06-01-01,מס מכירה,מס מכירה,תקנה פעילה,הכנסה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"19,239"
2013,00,הכנסות המדינה,00-07,מס מעסיקים,00-07-01,מס מעסיקים,00-07-01-01,מס מעסיקים,מס מעסיקים,תקנה פעילה,הכנסה,"400,000",0,0,0,0,0,0,"400,000",0,0,0,0,0,0,"387,725"
2013,00,הכנסות המדינה,00-08,מיסי הכנסה-עדכון מחירים,00-08-01,מיסי הכנסה-עדכון מחירים,00-08-01-01,מיסי הכנסה-עדכון מחירים,מיסי הכנסה-עדכון מחירים,תקנה פעילה,הכנסה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2013,00,הכנסות המדינה,00-09,מיסי הכנסה-העמקת הגביה,00-09-01,מיסי הכנסה-העמקת הגביה,00-09-01-01,מיסי הכנסה-העמקת הגביה,מיסי הכנסה-העמקת הגביה,תקנה פעילה,הכנסה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2013,00,הכנסות המדינה,00-11,מכס והיטל על היבוא,00-11-01,מכס והיטל על היבוא,00-11-01-01,מכס והיטל על היבוא,מכס והיטל על היבוא,תקנה פעילה,הכנסה,"2,400,000",0,0,0,0,0,0,"2,400,000",0,0,0,0,0,0,"2,305,779"
2013,00,הכנסות המדינה,00-12,"תקבולי מע""מ ברוטו",00-12-01,מס ערך מוסף,00-12-01-01,מס ערך מוסף - ייצור,מס ערך מוסף - ייצור,תקנה פעילה,הכנסה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2013,00,הכנסות המדינה,00-13,מס קניה,00-13-01,מס קניה,00-13-01-01,מס קניה,מס קניה,תקנה פעילה,הכנסה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2013,00,הכנסות המדינה,00-13,מס קניה,00-13-02,מס קניה מוצרי יבוא,00-13-02-01,מס קניה מוצרי יבוא,מס קניה מוצרי יבוא,תקנה פעילה,הכנסה,"15,900,000",0,0,0,0,0,0,"15,900,000",0,0,0,0,0,0,"15,375,837"
2013,00,הכנסות המדינה,00-13,מס קניה,00-13-03,מס קניה מקומי,00-13-03-01,מס קניה מקומי,מס קניה מקומי,תקנה פעילה,הכנסה,"400,000",0,0,0,0,0,0,"400,000",0,0,0,0,0,0,"457,436"
2013,00,הכנסות המדינה,00-14,"תקבולי מע""מ ברוטו",00-14-02,"תקבולי מע""מ נטו",00-14-02-01,"מע""מ ייצור מקומי","מע""מ ייצור מקומי",תקנה פעילה,הכנסה,"80,200,000",0,0,0,0,0,0,"80,200,000",0,0,0,0,0,0,"36,926,794"
2013,00,הכנסות המדינה,00-14,"תקבולי מע""מ ברוטו",00-14-02,"תקבולי מע""מ נטו",00-14-02-02,"מע""מ ייבוא אזרחי","מע""מ ייבוא אזרחי",תקנה פעילה,הכנסה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"42,728,705"
2013,00,הכנסות המדינה,00-14,"תקבולי מע""מ ברוטו",00-14-02,"תקבולי מע""מ נטו",00-14-02-03,"מע""מ ייבוא בטחוני","מע""מ ייבוא בטחוני",תקנה פעילה,הכנסה,"1,452,676",0,0,0,0,0,0,"1,452,676",0,0,0,0,0,0,"1,383,474"
2013,00,הכנסות המדינה,00-15,מס טבק - בלו,00-15-01,מס טבק - בלו,00-15-01-01,מס טבק - בלו,מס טבק - בלו,תקנה פעילה,הכנסה,"1,000,000",0,0,0,0,0,0,"1,000,000",0,0,0,0,0,0,"811,092"
2013,00,הכנסות המדינה,00-18,מס דלק,00-18-01,מס דלק,00-18-01-01,מס דלק,מס דלק,תקנה פעילה,הכנסה,"16,100,000",0,0,0,0,0,0,"16,100,000",0,0,0,0,0,0,"18,705,971"
2013,00,הכנסות המדינה,00-18,מס דלק,00-18-01,מס דלק,00-18-01-02,מס על בנזין,מס על בנזין,תקנה פעילה,הכנסה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2013,00,הכנסות המדינה,00-18,מס דלק,00-18-01,מס דלק,00-18-01-03,מס על סולר,מס על סולר,תקנה פעילה,הכנסה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-2,829,916"
2013,00,הכנסות המדינה,00-20,מס בולים,00-20-01,מס בולים,00-20-01-01,מס בולים,מס בולים,תקנה פעילה,הכנסה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-6,500"
2013,00,הכנסות המדינה,00-24,אגרות כלי רכב,00-24-01,אגרות כלי רכב,00-24-01-01,אגרות כלי רכב,אגרות כלי רכב,תקנה פעילה,הכנסה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-91,229"
2013,00,הכנסות המדינה,00-24,אגרות כלי רכב,00-24-02,אגרות כלי רכב פרטיים,00-24-02-01,אגרות כלי רכב פרטיים,אגרות כלי רכב פרטיים,תקנה פעילה,הכנסה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,313,920"
2013,00,הכנסות המדינה,00-24,אגרות כלי רכב,00-24-03,אגרות כלי רכב מסחריים,00-24-03-01,אגרות כלי רכב מסחריים,אגרות כלי רכב מסחריים,תקנה פעילה,הכנסה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"606,268"
