שנה,מזהה רמה 1,שם רמה 1,מזהה רמה 2,שם רמה 2,קוד סעיף,שם סעיף,קוד תחום,שם תחום,קוד תוכנית,שם תוכנית,קוד תקנה,שם תקנה מלא,"תקנה פעילה / פש""ח",סוג הוצאה,מקורי - נטו,מקורי - הוצאה מותנית,מקורי - הכנסה מיועדת,מקורי - הרשאה,מקורי - שיא כא,מקורי - עבצ,מקורי - כמויות,תקציב מאושר - הוצאות נטו,תקציב מאושר - הוצאה מותנית בהכנסה,תקציב מאושר - הכנסה מיועדת,תקציב מאושר - הרשאה להתחייב,תקציב מאושר - שיא כא,תקציב מאושר - עבצ,תקציב מאושר - כמויות,ביצוע - מזומן
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010201,שכר קבע,תקנה פעילה,הוצאה,"10,991,647",0,0,0,1,0,0,"10,991,647",0,0,0,1,0,0,"10,511,008"
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010202,שכר עובדי משרד הביטחון,תקנה פעילה,הוצאה,"908,227",0,0,0,"2,125.00",0,0,"896,420",0,0,0,"2,128",0,0,"975,538"
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010203,"שכר אזרחים עובדי צה""ל",תקנה פעילה,הוצאה,"2,365,357",0,0,0,1,0,0,"2,365,357",0,0,0,1,0,0,"2,345,714"
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010204,שכר יחידות סמך,תקנה פעילה,הוצאה,"1,110,819",0,0,0,1,0,0,"1,110,819",0,0,0,1,0,0,"1,162,773"
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010206,שכר חיילי חובה,תקנה פעילה,הוצאה,"1,261,299",0,0,0,1,0,0,"1,261,299",0,0,0,1,0,0,"1,375,120"
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010207,ימי מילואים,תקנה פעילה,הוצאה,"1,538,048",0,0,0,1,0,0,"1,538,048",0,0,0,1,0,0,"1,688,990"
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010208,שכר עובדי משרד הביטחון-סטודנטים,תקנה פעילה,הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010209,רזרבה להתייקרויות שכר,תקנה פעילה,הוצאה,"521,140",0,0,0,0,0,0,"521,140",0,0,0,0,0,0,0
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010210,עדכון מערכות שכר עידוד - משרד הביטחון,תקנה פעילה,הוצאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010211,גמלאות שוטף,תקנה פעילה,הוצאה,"7,412,850",0,0,0,0,0,0,"7,412,850",0,0,0,0,0,0,"6,056,515"
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010212,גמלאות שארים,תקנה פעילה,הוצאה,"523,015",0,0,0,0,0,0,"523,015",0,0,0,0,0,0,"374,742"
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010213,מענקי פרישה לגימלאים,תקנה פעילה,הוצאה,"272,401",0,0,0,0,0,0,"272,401",0,0,0,0,0,0,"336,894"
2014,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון,15010214,היוון לגימלאים,תקנה פעילה,הוצאה,"28,514",0,0,0,0,0,0,"28,514",0,0,0,0,0,0,"26,957"
