שנה,מזהה רמה 1,שם רמה 1,מזהה רמה 2,שם רמה 2,קוד סעיף,שם סעיף,קוד תחום,שם תחום,קוד תוכנית,שם תוכנית,מקורי - נטו,מקורי - הוצאה מותנית,מקורי - הכנסה מיועדת,מקורי - הרשאה,מקורי - שיא כא,מקורי - עבצ
2015,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1501,בטחון,150102,תקציב הביטחון," 	50,622,550 "," 	7,321,789 "," 	-7,321,789 "," 	22,000,000 "," 	2,122 ", 	-00 
2015,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1502,פינוי מוקשים,150201,תקציב הרשות לפינוי," 	27,000 ", 	-00 , 	-00 , 	-00 , 	1 , 	-00 
2015,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1503,היחידה לקליטת חיילים,150301,שכר," 	6,979 ", 	-00 , 	-00 , 	-00 , 	21 , 	-00 
2015,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1503,היחידה לקליטת חיילים,150302,הוצאות תפעול," 	2,433 ", 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1503,היחידה לקליטת חיילים,150303,מסלקה בנקאית," 	2,910 ", 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1530,"צה""ל לנגב",153001,תקציב פרוייקטי המעבר," 	1,600,000 "," 	200,000 "," 	-200,000 ", 	-00 , 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1540,פינוי מחנות,154001,עלויות תכנון," 	75,201 "," 	230,000 "," 	-230,000 ", 	-00 , 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,11,בטחון,15,משרד הבטחון,1550,מעבר תעש לנגב,155001,תקצוב פרוייקט מעבר תעש," 	215,000 "," 	20,000 "," 	-20,000 ", 	-00 , 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0750,משרד לבטחון פנים,075001,שכר," 	101,025 ", 	-00 , 	-00 , 	-00 , 	371 , 	588 
2015,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0750,משרד לבטחון פנים,075002,קניות," 	427,586 "," 	1,400 "," 	-1,400 ", 	-00 , 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0750,משרד לבטחון פנים,075003,רזרבות - משרד לבטחון," 	16,328 ", 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0755,הרשות להגנה על עדים,075501,שכר," 	32,228 ", 	-00 , 	-00 , 	-00 , 	115 , 	-00 
2015,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0755,הרשות להגנה על עדים,075502,קניות," 	20,962 ", 	-00 , 	-00 ," 	5,000 ", 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0760,כבאות והצלה,076001,שכר," 	554,272 "," 	245,465 "," 	-245,465 ", 	-00 ," 	2,730 ", 	84 
2015,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0760,כבאות והצלה,076002,קניות ופיתוח," 	178,033 "," 	114,058 "," 	-114,058 "," 	72,198 ", 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0760,כבאות והצלה,076003,רזרבה - כבאות," 	22,725 ", 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0770,שירות בתי הסוהר,077001,שכר," 	1,708,340 ", 	-00 , 	-00 , 	-00 ," 	8,266 "," 	2,400 "
2015,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0770,שירות בתי הסוהר,077002,קניות," 	756,223 "," 	216,642 "," 	-216,642 "," 	851,315 ", 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0770,שירות בתי הסוהר,077003,"גמלאות שב""ס"," 	464,501 ", 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0770,שירות בתי הסוהר,077004,"רזרבות - שב""ס"," 	76,099 ", 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0780,משטרת ישראל,078001,שכר," 	5,132,488 ", 	-00 , 	-00 , 	-00 ," 	22,664 "," 	9,108 "
2015,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0780,משטרת ישראל,078002,קניות," 	1,453,776 "," 	99,020 "," 	-99,020 "," 	1,185,043 ", 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0780,משטרת ישראל,078003,רכישת שירותי כוח אדם," 	375,140 ", 	-00 , 	-00 ," 	453,605 ", 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0780,משטרת ישראל,078006,המטה הארצי," 	20,650 "," 	40,000 "," 	-40,000 ", 	-00 , 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0780,משטרת ישראל,078007,רזרבות משטרה," 	220,139 ", 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,12,בטחון פנים,07,משרד לביטחון פנים,0780,משטרת ישראל,078008,גמלאות משטרה," 	2,648,984 "," 	5,842 "," 	-5,842 ", 	-00 , 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,12,בטחון פנים,52,פיתוח המשרד לביטחון-,5230,פיתוח משרד לביטחון,523001,פיתוח משרד," 	207,374 ", 	-00 , 	-00 ," 	186,679 ", 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,12,בטחון פנים,52,פיתוח המשרד לביטחון-,5240,פיתוח - שירות בתי הסוהר,524001,פיתוח שירות בתי הסוהר," 	140,912 ", 	-00 , 	-00 ," 	174,808 ", 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,12,בטחון פנים,52,פיתוח המשרד לביטחון-,5250,פיתוח - משטרה,525001,רכישה פיתוח אמצעים," 	63,636 ", 	-00 , 	-00 ," 	66,552 ", 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,12,בטחון פנים,52,פיתוח המשרד לביטחון-,5250,פיתוח - משטרה,525002,פרוייקטים במחשוב," 	153,944 "," 	30,400 "," 	-30,400 "," 	179,034 ", 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,12,בטחון פנים,52,פיתוח המשרד לביטחון-,5250,פיתוח - משטרה,525003,הקמה ושיפוץ מבני משטרה," 	115,791 "," 	25,000 "," 	-25,000 "," 	179,593 ", 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,12,בטחון פנים,52,פיתוח המשרד לביטחון-,5250,פיתוח - משטרה,525004,רזרבה להתייקרויות," 	10,358 ", 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,13,בטחון-אחר,16,הוצאות חירום אזרחיות,1613,מיגון אוכלוסיה -סופת,161301,הוצאות תפעול ושכר," 	7,500 ", 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,13,בטחון-אחר,16,הוצאות חירום אזרחיות,1613,מיגון אוכלוסיה -סופת,161303,"מענה רפואי, טיהור,"," 	70,100 ", 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,13,בטחון-אחר,16,הוצאות חירום אזרחיות,1615,כיבוי אש,161501,כיבוי אש," 	59,700 ", 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,13,בטחון-אחר,16,הוצאות חירום אזרחיות,1616,מרכיבי ביטחון,161601,שכר," 	9,970 ", 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,13,בטחון-אחר,16,הוצאות חירום אזרחיות,1616,מרכיבי ביטחון,161602,הקמה ואחזקת מרכיבי," 	146,000 ", 	-00 , 	-00 ," 	130,000 ", 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,13,בטחון-אחר,16,הוצאות חירום אזרחיות,1616,מרכיבי ביטחון,161603,מיגון הניוד ביהודה," 	2,913 ", 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,13,בטחון-אחר,16,הוצאות חירום אזרחיות,1616,מרכיבי ביטחון,161604,מיגון יישובי סובב עזה," 	1,121 ", 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,13,בטחון-אחר,16,הוצאות חירום אזרחיות,1617,רשות חירום לאומית,161701,הוצאות תפעול ושכר," 	47,546 ", 	-00 , 	-00 , 	-00 , 	45 , 	105 
2015,1,בטחון וסדר ציבורי,13,בטחון-אחר,16,הוצאות חירום אזרחיות,1617,רשות חירום לאומית,161703,פרויקטי רשות חירום," 	46,804 ", 	-00 , 	-00 ," 	70,000 ", 	-00 , 	-00 
2015,1,בטחון וסדר ציבורי,13,בטחון-אחר,16,הוצאות חירום אזרחיות,1618,רזרבה,161801,רזרבה," 	11,495 ", 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
