שנה,קוד רמה 1,שם רמה 1,קוד ושם רמה 1,קוד רמה 2,שם רמה 2,קוד ושם רמה 2,קוד סוג סעיף,שם סוג סעיף,קוד סעיף,שם סעיף,קוד ושם סעיף,קוד תחום,שם תחום,קוד ושם תחום,קוד תכנית,שם תכנית,קוד ושם תכנית,קוד מיון רמה 1,שם מיון רמה 1,קוד ושם מיון רמה 1,קוד מיון רמה 2,שם מיון רמה 2,קוד ושם מיון רמה 2,הוצאה/הכנסה,סוג תקציב,הוצאה נטו,הוצאה מותנית בהכנסה,הכנסה מיועדת,הרשאה להתחייב,שיא כח אדם,עבצ,כמות
2016,2,שירותים חברתיים,2-שירותים חברתיים,21,בריאות,21-בריאות,1,תקציב רגיל,24      ,משרד הבריאות,24      -משרד הבריאות,2416    ,שירותי בריאות הציבור,2416    -שירותי בריאות הציבור,241642  ,חיפה - תחנה להתפתחות,241642  -חיפה - תחנה להתפתחות,001,שכר,001-שכר,030,שכר בארץ,030-שכר בארץ,הוצאה,מקורי,0,0,0,0,0,0,0
2016,2,שירותים חברתיים,2-שירותים חברתיים,22,חינוך,22-חינוך,1,תקציב רגיל,20      ,משרד החינוך,20      -משרד החינוך,2026    ,חינוך יסודי,2026    -חינוך יסודי,202611  ,שעות תקן-חינוך יסודי,202611  -שעות תקן-חינוך יסודי,002,קניות,002-קניות,033,קניות בארץ,033-קניות בארץ,הוצאה,מקורי,0,0,0,0,0,0,0
2016,2,שירותים חברתיים,2-שירותים חברתיים,22,חינוך,22-חינוך,1,תקציב רגיל,20      ,משרד החינוך,20      -משרד החינוך,2046    ,תכניות חינוכיות משלימות,2046    -תכניות חינוכיות משלימות,204601  ,קידום ילדים ונוער,204601  -קידום ילדים ונוער,003,העברות,003-העברות,031,מוצרים ציבוריים,031-מוצרים ציבוריים,הוצאה,מקורי,311209,100,0,0,0,0,0
2016,3,תשתיות,3-תשתיות,31,תחבורה,31-תחבורה,2,תקציב פיתוח,79      ,פיתוח התחבורה,79      -פיתוח התחבורה,7950    ,תחבורה ציבורית,7950    -תחבורה ציבורית,795002  ,תחבורה ציבורית והסעת,795002  -תחבורה ציבורית והסעת,007,השקעה,007-השקעה,047,השקעה בארץ,047-השקעה בארץ,הוצאה,מקורי,1656813,0,0,0,0,0,0
2016,2,שירותים חברתיים,2-שירותים חברתיים,22,חינוך,22-חינוך,1,תקציב רגיל,20      ,משרד החינוך,20      -משרד החינוך,2047    ,מינהל עובדי הוראה,2047    -מינהל עובדי הוראה,204701  ,הכשרה וקידום מקצועי של,204701  -הכשרה וקידום מקצועי של,002,קניות,002-קניות,033,קניות בארץ,033-קניות בארץ,הוצאה,מקורי,142957,2000,0,0,0,0,700
2016,4,משרדי מטה,4-משרדי מטה,46,משרדים נוספים,46-משרדים נוספים,1,תקציב רגיל,02      ,הכנסת,02      -הכנסת,0203    ,פעולות הכנסת,0203    -פעולות הכנסת,020301  ,שירותים מקצועיים,020301  -שירותים מקצועיים,002,קניות,002-קניות,033,קניות בארץ,033-קניות בארץ,הוצאה,מקורי,35400,0,0,0,0,0,0
2016,3,תשתיות,3-תשתיות,34,בינוי ושיכון,34-בינוי ושיכון,2,תקציב פיתוח,70      ,שיכון,70      -שיכון,7003    ,פעולות פיתוח במרקם,7003    -פעולות פיתוח במרקם,700306  ,תקן מוסדות ציבור,700306  -תקן מוסדות ציבור,004,הכנסות מיועדות,004-הכנסות מיועדות,042,הכנסות תקציב פיתוח,042-הכנסות תקציב פיתוח,הכנסה,מקורי,0,0,-42500,0,0,0,0
2016,2,שירותים חברתיים,2-שירותים חברתיים,21,בריאות,21-בריאות,1,תקציב רגיל,24      ,משרד הבריאות,24      -משרד הבריאות,2440    ,מרכזים לבריאות הנפש,2440    -מרכזים לבריאות הנפש,244009  ,מרכז קהילתי יפו,244009  -מרכז קהילתי יפו,004,הכנסות מיועדות,004-הכנסות מיועדות,041,הכנסות תקציב רגיל,041-הכנסות תקציב רגיל,הכנסה,מקורי,0,0,-32189,0,0,0,0
2016,5,ענפי משק,5-ענפי משק,52,חקלאות,52-חקלאות,1,תקציב רגיל,32      ,תמיכות שונות,32      -תמיכות שונות,3250    ,תמיכות בחקלאות,3250    -תמיכות בחקלאות,325001  ,תמיכות שנתיות ביצרן,325001  -תמיכות שנתיות ביצרן,003,העברות,003-העברות,038,סובסידיה,038-סובסידיה,הוצאה,מקורי,0,0,0,0,0,0,0
2016,2,שירותים חברתיים,2-שירותים חברתיים,21,בריאות,21-בריאות,5,מפעלים עסקיים,94      ,בתי חולים ממשלתים,94      -בתי חולים ממשלתים,9450    ,התיקרויות,9450    -התיקרויות,945007  ,פיתוח שירותים בגין,945007  -פיתוח שירותים בגין,001,שכר,001-שכר,030,שכר בארץ,030-שכר בארץ,הוצאה,מקורי,0,0,0,0,0,0,2204
2016,3,תשתיות,3-תשתיות,35,רשות מקרקעי ישראל,35-רשות מקרקעי ישראל,5,מפעלים עסקיים,98      ,הוצאות מינהל מקרקעי,98      -הוצאות מינהל מקרקעי,9873    ,הכנסות הון,9873    -הכנסות הון,987313  ,דמי חכירה מהוונים,987313  -דמי חכירה מהוונים,004,הכנסות מיועדות,004-הכנסות מיועדות,042,הכנסות תקציב פיתוח,042-הכנסות תקציב פיתוח,הכנסה,מקורי,4978000,0,0,0,0,0,0
2016,2,שירותים חברתיים,2-שירותים חברתיים,21,בריאות,21-בריאות,1,תקציב רגיל,24      ,משרד הבריאות,24      -משרד הבריאות,2413    ,מרכזים רפואיים לבריאות,2413    -מרכזים רפואיים לבריאות,241381  ,באר-שבע - מרכז לבריאות,241381  -באר-שבע - מרכז לבריאות,002,קניות,002-קניות,033,קניות בארץ,033-קניות בארץ,הוצאה,מקורי,0,0,0,0,0,0,0
2016,3,תשתיות,3-תשתיות,35,רשות מקרקעי ישראל,35-רשות מקרקעי ישראל,5,מפעלים עסקיים,98      ,הוצאות מינהל מקרקעי,98      -הוצאות מינהל מקרקעי,9822    ,פעולות עסקיות והשירות,9822    -פעולות עסקיות והשירות,982210  ,פעולות עסקיות,982210  -פעולות עסקיות,007,השקעה,007-השקעה,047,השקעה בארץ,047-השקעה בארץ,הוצאה,מקורי,3046580,0,0,834685,0,0,0
2016,4,משרדי מטה,4-משרדי מטה,41,ראש הממשלה,41-ראש הממשלה,1,תקציב רגיל,04      ,משרד ראש הממשלה,04      -משרד ראש הממשלה,0461    ,החטיבה להתיישבות,0461    -החטיבה להתיישבות,046104  ,מרחב דרום,046104  -מרחב דרום,003,העברות,003-העברות,031,מוצרים ציבוריים,031-מוצרים ציבוריים,הוצאה,מקורי,0,0,0,0,0,0,0
2016,4,משרדי מטה,4-משרדי מטה,46,משרדים נוספים,46-משרדים נוספים,1,תקציב רגיל,02      ,הכנסת,02      -הכנסת,0203    ,פעולות הכנסת,0203    -פעולות הכנסת,020304  ,הוצאות עובדי הכנסת,020304  -הוצאות עובדי הכנסת,001,שכר,001-שכר,030,שכר בארץ,030-שכר בארץ,הוצאה,מקורי,164680,0,0,0,511,720,142560
2016,3,תשתיות,3-תשתיות,32,משק המים,32-משק המים,2,תקציב פיתוח,73      ,מפעלי מים,73      -מפעלי מים,7333    ,סיוע לתאגידי מים וביוב,7333    -סיוע לתאגידי מים וביוב,733301  ,מענקים לתאגידי מים,733301  -מענקים לתאגידי מים,007,השקעה,007-השקעה,047,השקעה בארץ,047-השקעה בארץ,הוצאה,מקורי,263752,0,0,0,0,0,0
2016,2,שירותים חברתיים,2-שירותים חברתיים,24,רווחה,24-רווחה,1,תקציב רגיל,23      ,משרד הרווחה והשירותים,23      -משרד הרווחה והשירותים,2301    ,תחום פעולה כללי,2301    -תחום פעולה כללי,230119  ,אמרכלות,230119  -אמרכלות,004,הכנסות מיועדות,004-הכנסות מיועדות,041,הכנסות תקציב רגיל,041-הכנסות תקציב רגיל,הכנסה,מקורי,0,0,-200,0,0,0,0
2016,4,משרדי מטה,4-משרדי מטה,42,אוצר,42-אוצר,1,תקציב רגיל,05      ,משרד האוצר,05      -משרד האוצר,0552    ,רשות המיסים,0552    -רשות המיסים,055202  ,שירותי עיבוד ממוכנים,055202  -שירותי עיבוד ממוכנים,002,קניות,002-קניות,033,קניות בארץ,033-קניות בארץ,הוצאה,מקורי,66134,5800,0,0,0,0,127
2016,2,שירותים חברתיים,2-שירותים חברתיים,22,חינוך,22-חינוך,1,תקציב רגיל,20      ,משרד החינוך,20      -משרד החינוך,2026    ,חינוך יסודי,2026    -חינוך יסודי,202611  ,שעות תקן-חינוך יסודי,202611  -שעות תקן-חינוך יסודי,004,הכנסות מיועדות,004-הכנסות מיועדות,041,הכנסות תקציב רגיל,041-הכנסות תקציב רגיל,הכנסה,מקורי,0,0,0,0,0,0,0
2016,3,תשתיות,3-תשתיות,33,אנרגיה,33-אנרגיה,1,תקציב רגיל,34      ,משרד האנרגיה והמים,34      -משרד האנרגיה והמים,3430    ,מטה המשרד,3430    -מטה המשרד,343003  ,יחידות מקצועיות,343003  -יחידות מקצועיות,003,העברות,003-העברות,038,סובסידיה,038-סובסידיה,הוצאה,מקורי,23500,0,0,22870,0,0,0
2016,2,שירותים חברתיים,2-שירותים חברתיים,24,רווחה,24-רווחה,1,תקציב רגיל,23      ,משרד הרווחה והשירותים,23      -משרד הרווחה והשירותים,2311    ,נוער צעירים ושירותי,2311    -נוער צעירים ושירותי,231124  ,שרות המבחן למבוגרים,231124  -שרות המבחן למבוגרים,019,העברות  פנים תקציביות,019-העברות  פנים תקציביות,300,השתתפויות,300-השתתפויות,הוצאה,מקורי,3700,0,0,0,0,0,0
2016,2,שירותים חברתיים,2-שירותים חברתיים,22,חינוך,22-חינוך,1,תקציב רגיל,20      ,משרד החינוך,20      -משרד החינוך,2028    ,חינוך התישבותי,2028    -חינוך התישבותי,202817  ,הוראת החקלאות ומקצועות,202817  -הוראת החקלאות ומקצועות,002,קניות,002-קניות,033,קניות בארץ,033-קניות בארץ,הוצאה,מקורי,0,0,0,0,0,0,0
2016,2,שירותים חברתיים,2-שירותים חברתיים,21,בריאות,21-בריאות,1,תקציב רגיל,24      ,משרד הבריאות,24      -משרד הבריאות,2413    ,מרכזים רפואיים לבריאות,2413    -מרכזים רפואיים לבריאות,241316  ,טירת הכרמל - מרכז,241316  -טירת הכרמל - מרכז,004,הכנסות מיועדות,004-הכנסות מיועדות,041,הכנסות תקציב רגיל,041-הכנסות תקציב רגיל,הכנסה,מקורי,0,0,0,0,0,0,0
2016,2,שירותים חברתיים,2-שירותים חברתיים,22,חינוך,22-חינוך,1,תקציב רגיל,20      ,משרד החינוך,20      -משרד החינוך,2040    ,מטה המשרד,2040    -מטה המשרד,204003  ,תפעול ואחזקת המשרד,204003  -תפעול ואחזקת המשרד,002,קניות,002-קניות,173,רזרבה,173-רזרבה,הוצאה,מקורי,14758,0,0,0,0,0,0
2016,3,תשתיות,3-תשתיות,34,בינוי ושיכון,34-בינוי ושיכון,2,תקציב פיתוח,70      ,שיכון,70      -שיכון,7005    ,דיור ציבורי,7005    -דיור ציבורי,700506  ,רכישת דירות נכסי רכישה,700506  -רכישת דירות נכסי רכישה,007,השקעה,007-השקעה,047,השקעה בארץ,047-השקעה בארץ,הוצאה,מקורי,26500,15000,0,30007,0,0,0
2016,2,שירותים חברתיים,2-שירותים חברתיים,21,בריאות,21-בריאות,1,תקציב רגיל,24      ,משרד הבריאות,24      -משרד הבריאות,2413    ,מרכזים רפואיים לבריאות,2413    -מרכזים רפואיים לבריאות,241329  ,תל השומר - תחנה,241329  -תל השומר - תחנה,001,שכר,001-שכר,030,שכר בארץ,030-שכר בארץ,הוצאה,מקורי,0,0,0,0,0,0,0
2016,2,שירותים חברתיים,2-שירותים חברתיים,22,חינוך,22-חינוך,1,תקציב רגיל,20      ,משרד החינוך,20      -משרד החינוך,2050    ,טלויזיה חינוכית,2050    -טלויזיה חינוכית,205001  ,טלויזיה חינוכית,205001  -טלויזיה חינוכית,019,העברות  פנים תקציביות,019-העברות  פנים תקציביות,300,השתתפויות,300-השתתפויות,הוצאה,מקורי,367,0,0,0,0,0,0
2016,1,בטחון וסדר ציבורי,1-בטחון וסדר ציבורי,12,בטחון פנים,12-בטחון פנים,1,תקציב רגיל,07      ,משרד לביטחון פנים,07      -משרד לביטחון פנים,0770    ,שירות בתי הסוהר,0770    -שירות בתי הסוהר,077002  ,קניות,077002  -קניות,002,קניות,002-קניות,033,קניות בארץ,033-קניות בארץ,הוצאה,מקורי,762620,221783,0,883892,0,0,0
2016,2,שירותים חברתיים,2-שירותים חברתיים,21,בריאות,21-בריאות,1,תקציב רגיל,24      ,משרד הבריאות,24      -משרד הבריאות,2416    ,שירותי בריאות הציבור,2416    -שירותי בריאות הציבור,241651  ,לשכת בריאות מחוז מרכז,241651  -לשכת בריאות מחוז מרכז,001,שכר,001-שכר,030,שכר בארץ,030-שכר בארץ,הוצאה,מקורי,0,0,0,0,0,0,0
2016,2,שירותים חברתיים,2-שירותים חברתיים,21,בריאות,21-בריאות,1,תקציב רגיל,24      ,משרד הבריאות,24      -משרד הבריאות,2413    ,מרכזים רפואיים לבריאות,2413    -מרכזים רפואיים לבריאות,241343  ,יפו - מרכז קהילתי,241343  -יפו - מרכז קהילתי,001,שכר,001-שכר,030,שכר בארץ,030-שכר בארץ,הוצאה,מקורי,0,0,0,0,0,0,0
2016,2,שירותים חברתיים,2-שירותים חברתיים,21,בריאות,21-בריאות,1,תקציב רגיל,24      ,משרד הבריאות,24      -משרד הבריאות,2404    ,הכשרה והדרכה,2404    -הכשרה והדרכה,240409  ,הכשרת רופאים,240409  -הכשרת רופאים,004,הכנסות מיועדות,004-הכנסות מיועדות,041,הכנסות תקציב רגיל,041-הכנסות תקציב רגיל,הכנסה,מקורי,0,0,-31012,0,0,0,0
2016,5,ענפי משק,5-ענפי משק,53,תעשיה ותעסוקה,53-תעשיה ותעסוקה,1,תקציב רגיל,36      ,משרד הכלכלה,36      -משרד הכלכלה,3642    ,עידוד תעסוקת אוכלוסיות,3642    -עידוד תעסוקת אוכלוסיות,364202  ,האוכלוסיה הערבית-עידוד,364202  -האוכלוסיה הערבית-עידוד,003,העברות,003-העברות,034,תשלומי העברה סוציאליים,034-תשלומי העברה סוציאליים,הוצאה,מקורי,0,0,0,0,0,0,0
