"0000010000 - מס הכנסה","43740000","43740000","","-43740000","0","-43740000","0"," "," "," "," "," "," "
"00000100 - מס הכנסה","43740000","43740000","","-43740000","0","-43740000","0"," "," "," "," "," "," "
"000001 - מס הכנסה","43740000","43740000","","-43740000","0","-43740000","0"," "," "," "," "," "," "
"0000020000 - מס ערך מוסף על מלכרים","5250000","5250000","5210500","-39500","99.200078125","-39500","99.200078125"," "," "," "," "," "," "
"00000200 - מס ערך מוסף על מלכרים","5250000","5250000","5210500","-39500","99.200078125","-39500","99.200078125"," "," "," "," "," "," "
"000002 - מס ערך מוסף על מלכרים","5250000","5250000","5210500","-39500","99.200078125","-39500","99.200078125"," "," "," "," "," "," "
"0000030000 - מס שבח","1220000","1220000","1210155","-9845","99.200078125","-9845","99.200078125"," "," "," "," "," "," "
"00000300 - מס שבח","1220000","1220000","1210155","-9845","99.200078125","-9845","99.200078125"," "," "," "," "," "," "
"000003 - מס שבח","1220000","1220000","1210155","-9845","99.200078125","-9845","99.200078125"," "," "," "," "," "," "
"0000040000 - מס רכישה","1590000","1590000","1467289","-122711","92.300078125","-122711","92.300078125"," "," "," "," "," "," "
"00000400 - מס רכישה","1590000","1590000","1467289","-122711","92.300078125","-122711","92.300078125"," "," "," "," "," "," "
"000004 - מס רכישה","1590000","1590000","1467289","-122711","92.300078125","-122711","92.300078125"," "," "," "," "," "," "
"0000050000 - מס רכוש","850000","850000","820764","-29236","96.600078125","-29236","96.600078125"," "," "," "," "," "," "
"00000500 - מס רכוש","850000","850000","820764","-29236","96.600078125","-29236","96.600078125"," "," "," "," "," "," "
"000005 - מס רכוש","850000","850000","820764","-29236","96.600078125","-29236","96.600078125"," "," "," "," "," "," "
"0000070000 - מס מעסיקים","1050000","1050000","1041287","-8713","99.200078125","-8713","99.200078125"," "," "," "," "," "," "
"00000700 - מס מעסיקים","1050000","1050000","1041287","-8713","99.200078125","-8713","99.200078125"," "," "," "," "," "," "
"000007 - מס מעסיקים","1050000","1050000","1041287","-8713","99.200078125","-8713","99.200078125"," "," "," "," "," "," "
"0000110000 - מכס והיטל על היבו`","1100000","1100000","1060268","-39732","96.400078125","-39732","96.400078125"," "," "," "," "," "," "
"00001100 - מכס והיטל על היבוא","1100000","1100000","1060268","-39732","96.400078125","-39732","96.400078125"," "," "," "," "," "," "
"000011 - מכס והיטל על היבוא","1100000","1100000","1060268","-39732","96.400078125","-39732","96.400078125"," "," "," "," "," "," "
"0000120000 - מע""מ לל` יבו` בטחון","28651380","28651380","28446888","-204492","99.300078125","-204492","99.300078125"," "," "," "," "," "," "
"00001200 - מע""מ ללא יבוא בטחון","28651380","28651380","28446888","-204492","99.300078125","-204492","99.300078125"," "," "," "," "," "," "
"000012 - מע""מ ללא יבוא בטחון","28651380","28651380","28446888","-204492","99.300078125","-204492","99.300078125"," "," "," "," "," "," "
"0000130000 - מס קניה","8240000","8240000","7672031","-567969","93.100078125","-567969","93.100078125"," "," "," "," "," "," "
"00001300 - מס קניה","8240000","8240000","7672031","-567969","93.100078125","-567969","93.100078125"," "," "," "," "," "," "
"000013 - מס קניה","8240000","8240000","7672031","-567969","93.100078125","-567969","93.100078125"," "," "," "," "," "," "
"0000150000 - בלו","760000","760000","737284","-22716","97","-22716","97"," "," "," "," "," "," "
"00001500 - בלו","760000","760000","737284","-22716","97","-22716","97"," "," "," "," "," "," "
"000015 - בלו","760000","760000","737284","-22716","97","-22716","97"," "," "," "," "," "," "
"0000180000 - מס דלק","4110000","4110000","4158959","48959","101.200078125","48959","101.200078125"," "," "," "," "," "," "
"00001800 - מס דלק","4110000","4110000","4158959","48959","101.200078125","48959","101.200078125"," "," "," "," "," "," "
"000018 - מס דלק","4110000","4110000","4158959","48959","101.200078125","48959","101.200078125"," "," "," "," "," "," "
"0000200000 - מס בולים","680000","680000","750719","70719","110.400078125","70719","110.400078125"," "," "," "," "," "," "
"00002000 - מס בולים","680000","680000","750719","70719","110.400078125","70719","110.400078125"," "," "," "," "," "," "
"000020 - מס בולים","680000","680000","750719","70719","110.400078125","70719","110.400078125"," "," "," "," "," "," "
"0000240000 - גרות כלי רכב","1080000","1080000","1087390","7390","100.700078125","7390","100.700078125"," "," "," "," "," "," "
"00002400 - אגרות כלי רכב","1080000","1080000","1087390","7390","100.700078125","7390","100.700078125"," "," "," "," "," "," "
"000024 - אגרות כלי רכב","1080000","1080000","1087390","7390","100.700078125","7390","100.700078125"," "," "," "," "," "," "
"0000250000 - גרות ורשיונות `חרים","890000","890000","1110348","220348","124.800078125","220348","124.800078125"," "," "," "," "," "," "
"00002500 - אגרות ורשיונות אחרים","890000","890000","1110348","220348","124.800078125","220348","124.800078125"," "," "," "," "," "," "
"0000250507 - לא ידוע (ביצוע הנ""ח)","","","2259","2259","","2259",""," "," "," "," "," "," "
"0000250508 - לא ידוע (ביצוע הנ""ח)","","","5463","5463","","5463",""," "," "," "," "," "," "
"0000250509 - לא ידוע (ביצוע הנ""ח)","","","11351","11351","","11351",""," "," "," "," "," "," "
"00002505 - לא ידוע","","","19074","19074","","19074",""," "," "," "," "," "," "
"000025 - אגרות ורשיונות אחרים","890000","890000","1129422","239422","126.900078125","239422","126.900078125"," "," "," "," "," "," "
"0000340000 - ריבית במט""ח","50000","50000","106313","56313","212.60015625","56313","212.60015625"," "," "," "," "," "," "
"00003400 - ריבית במט""ח","50000","50000","106313","56313","212.60015625","56313","212.60015625"," "," "," "," "," "," "
"0000340500 - לא ידוע (ביצוע הנ""ח)","","","134761","134761","","134761",""," "," "," "," "," "," "
"00003405 - לא ידוע","","","134761","134761","","134761",""," "," "," "," "," "," "
"000034 - ריבית במט""ח","50000","50000","241074","191074","482.1003125","191074","482.1003125"," "," "," "," "," "," "
"0000350000 - גביית ריבית","1860000","1860000","1744","-1858256","0.100000076293945","-1858256","0.100000076293945"," "," "," "," "," "," "
"00003500 - גביית ריבית","1860000","1860000","1744","-1858256","0.100000076293945","-1858256","0.100000076293945"," "," "," "," "," "," "
"0000350100 - לא ידוע (ביצוע הנ""ח)","","","2149826","2149826","","2149826",""," "," "," "," "," "," "
"00003501 - לא ידוע","","","2149826","2149826","","2149826",""," "," "," "," "," "," "
"0000350200 - לא ידוע (ביצוע הנ""ח)","","","15225","15225","","15225",""," "," "," "," "," "," "
"00003502 - לא ידוע","","","15225","15225","","15225",""," "," "," "," "," "," "
"0000350601 - לא ידוע (ביצוע הנ""ח)","","","660","660","","660",""," "," "," "," "," "," "
"00003506 - לא ידוע","","","660","660","","660",""," "," "," "," "," "," "
"0000350800 - לא ידוע (ביצוע הנ""ח)","","","12250","12250","","12250",""," "," "," "," "," "," "
"00003508 - לא ידוע","","","12250","12250","","12250",""," "," "," "," "," "," "
"0000359800 - לא ידוע (ביצוע הנ""ח)","","","44018","44018","","44018",""," "," "," "," "," "," "
"00003598 - לא ידוע","","","44018","44018","","44018",""," "," "," "," "," "," "
"000035 - גביית ריבית","1860000","1860000","2223724","363724","119.600078125","363724","119.600078125"," "," "," "," "," "," "
"0000390000 - רווחי בנק ישראל","","","1443000","1443000","","1443000",""," "," "," "," "," "," "
"00003900 - רווחי בנק ישראל","","","1443000","1443000","","1443000",""," "," "," "," "," "," "
"000039 - רווחי בנק ישראל","","","1443000","1443000","","1443000",""," "," "," "," "," "," "
"0000400501 - לא ידוע (ביצוע הנ""ח)","","","-1443000","-1443000","","-1443000",""," "," "," "," "," "," "
"00004005 - לא ידוע","","","-1443000","-1443000","","-1443000",""," "," "," "," "," "," "
"000040 - לא ידוע","","","-1443000","-1443000","","-1443000",""," "," "," "," "," "," "
"0000420000 - תמלוגים ממפעלים עסקיים","1100","1100","","-1100","0","-1100","0"," "," "," "," "," "," "
"00004200 - תמלוגים ממפעלים עסקיים","1100","1100","","-1100","0","-1100","0"," "," "," "," "," "," "
"0000420505 - לא ידוע (ביצוע הנ""ח)","","","16","16","","16",""," "," "," "," "," "," "
"00004205 - לא ידוע","","","16","16","","16",""," "," "," "," "," "," "
"0000429513 - לא ידוע (ביצוע הנ""ח)","","","2","2","","2",""," "," "," "," "," "," "
"0000429551 - לא ידוע (ביצוע הנ""ח)","","","10","10","","10",""," "," "," "," "," "," "
"00004295 - לא ידוע","","","12","12","","12",""," "," "," "," "," "," "
"000042 - תמלוגים ממפעלים עסקיים","1100","1100","29","-1071","2.60000244140625","-1071","2.60000244140625"," "," "," "," "," "," "
"0000430000 - תמלוגים מ`צרות טבע","60000","60000","44820","-15180","74.7000390625","-15180","74.7000390625"," "," "," "," "," "," "
"00004300 - תמלוגים מ`צרות טבע","60000","60000","44820","-15180","74.7000390625","-15180","74.7000390625"," "," "," "," "," "," "
"000043 - תמלוגים מ`צרות טבע","60000","60000","44820","-15180","74.7000390625","-15180","74.7000390625"," "," "," "," "," "," "
"0000440000 - תמלוגים מחברות ממשלתיות","625000","625000","554337","-70663","88.700078125","-70663","88.700078125"," "," "," "," "," "," "
"00004400 - תמלוגים מחברות ממשלתיות","625000","625000","554337","-70663","88.700078125","-70663","88.700078125"," "," "," "," "," "," "
"000044 - תמלוגים מחברות ממשלתיות","625000","625000","554337","-70663","88.700078125","-70663","88.700078125"," "," "," "," "," "," "
"0000450000 - דיוידנדים מחברות ממשל""ת","780000","780000","534973","-245027","68.6000390625","-245027","68.6000390625"," "," "," "," "," "," "
"00004500 - דיוידנדים מחברות ממשל""ת","780000","780000","534973","-245027","68.6000390625","-245027","68.6000390625"," "," "," "," "," "," "
"000045 - דיוידנדים מחברות ממשל""ת","780000","780000","534973","-245027","68.6000390625","-245027","68.6000390625"," "," "," "," "," "," "
"0000460000 - החזרות ע""ח תקציב קודם","45000","45000","98356","53356","218.60015625","53356","218.60015625"," "," "," "," "," "," "
"00004600 - החזרות ע""ח תקציב קודם","45000","45000","98356","53356","218.60015625","53356","218.60015625"," "," "," "," "," "," "
"0000469800 - לא ידוע (ביצוע הנ""ח)","","","42","42","","42",""," "," "," "," "," "," "
"00004698 - לא ידוע","","","42","42","","42",""," "," "," "," "," "," "
"000046 - החזרות ע""ח תקציב קודם","45000","45000","98398","53398","218.70015625","53398","218.70015625"," "," "," "," "," "," "
"0000470000 - הכנסות משרותים שונים","610281","610281","","-610281","0","-610281","0"," "," "," "," "," "," "
"00004700 - הכנסות משרותים שונים","610281","610281","","-610281","0","-610281","0"," "," "," "," "," "," "
"0000470100 - לא ידוע (ביצוע הנ""ח)","","","11","11","","11",""," "," "," "," "," "," "
"00004701 - לא ידוע","","","11","11","","11",""," "," "," "," "," "," "
"0000470200 - לא ידוע (ביצוע הנ""ח)","","","41509","41509","","41509",""," "," "," "," "," "," "
"00004702 - לא ידוע","","","41509","41509","","41509",""," "," "," "," "," "," "
"0000470300 - לא ידוע (ביצוע הנ""ח)","","","132625","132625","","132625",""," "," "," "," "," "," "
"00004703 - לא ידוע","","","132625","132625","","132625",""," "," "," "," "," "," "
"0000470403 - לא ידוע (ביצוע הנ""ח)","","","3776","3776","","3776",""," "," "," "," "," "," "
"00004704 - לא ידוע","","","3776","3776","","3776",""," "," "," "," "," "," "
"0000470500 - לא ידוע (ביצוע הנ""ח)","","","5","5","","5",""," "," "," "," "," "," "
"00004705 - לא ידוע","","","5","5","","5",""," "," "," "," "," "," "
