,,,,,,2013,,,,,2014,,,,
קוד סעיף,שם סעיף,קוד תחום,שם תחום,קוד תוכנית,שם תוכנית,הוצאה נטו,הוצאה מותנית בהכנסה,הכנסה מיועדת,הרשאה להתחייב,שיא כא,הוצאה נטו,הוצאה מותנית בהכנסה,הכנסה מיועדת,הרשאה להתחייב,שיא כא
00,הכנסות המדינה,00-01,מס הכנסה,00-01-01,מס הכנסה,0,0,0,0,0,0,0,0,0,0
00,הכנסות המדינה,00-01,מס הכנסה,00-01-02,מס הכנסה שכירים,"36,600,000",0,0,0,0,"42,500,000",0,0,0,0
00,הכנסות המדינה,00-01,מס הכנסה,00-01-03,מס הכנסה סקטור עסקי,"57,500,000",0,0,0,0,"63,400,000",0,0,0,0
00,הכנסות המדינה,00-02,מיסים על הוצאות שכר,00-02-01,מס מעסיקים,0,0,0,0,0,0,0,0,0,0
00,הכנסות המדינה,00-02,מיסים על הוצאות שכר,00-02-02,"מע""מ על מלכרים","8,900,000",0,0,0,0,"9,300,000",0,0,0,0
00,הכנסות המדינה,00-02,מיסים על הוצאות שכר,00-02-03,"מע""מ על פיננסים","2,900,000",0,0,0,0,"3,100,000",0,0,0,0
00,הכנסות המדינה,00-03,מס שבח,00-03-01,מס שבח,"2,200,000",0,0,0,0,"2,400,000",0,0,0,0
00,הכנסות המדינה,00-04,מס רכישה,00-04-01,מס רכישה,"4,300,000",0,0,0,0,"5,200,000",0,0,0,0
00,הכנסות המדינה,00-05,מס רכוש,00-05-01,מס רכוש,0,0,0,0,0,0,0,0,0,0
00,הכנסות המדינה,00-06,מס מכירה,00-06-01,מס מכירה,0,0,0,0,0,0,0,0,0,0
00,הכנסות המדינה,00-07,מס מעסיקים,00-07-01,מס מעסיקים,"400,000",0,0,0,0,"400,000",0,0,0,0
00,הכנסות המדינה,00-08,מיסי הכנסה-עדכון מחירים,00-08-01,מיסי הכנסה-עדכון מחירים,0,0,0,0,0,0,0,0,0,0
00,הכנסות המדינה,00-09,מיסי הכנסה-העמקת הגביה,00-09-01,מיסי הכנסה-העמקת הגביה,0,0,0,0,0,0,0,0,0,0
00,הכנסות המדינה,00-11,מכס והיטל על היבוא,00-11-01,מכס והיטל על היבוא,"2,400,000",0,0,0,0,"2,600,000",0,0,0,0
00,הכנסות המדינה,00-12,"תקבולי מע""מ ברוטו",00-12-01,מס ערך מוסף,0,0,0,0,0,0,0,0,0,0
00,הכנסות המדינה,00-13,מס קניה,00-13-01,מס קניה,0,0,0,0,0,0,0,0,0,0
00,הכנסות המדינה,00-13,מס קניה,00-13-02,מס קניה מוצרי יבוא,"15,900,000",0,0,0,0,"17,200,000",0,0,0,0
00,הכנסות המדינה,00-13,מס קניה,00-13-03,מס קניה מקומי,"400,000",0,0,0,0,"400,000",0,0,0,0
00,הכנסות המדינה,00-14,"תקבולי מע""מ ברוטו",00-14-02,"תקבולי מע""מ נטו","81,652,676",0,0,0,0,"89,066,155",0,0,0,0
00,הכנסות המדינה,00-15,מס טבק - בלו,00-15-01,מס טבק - בלו,"1,000,000",0,0,0,0,"1,100,000",0,0,0,0
00,הכנסות המדינה,00-18,מס דלק,00-18-01,מס דלק,"16,100,000",0,0,0,0,"16,500,000",0,0,0,0
00,הכנסות המדינה,00-20,מס בולים,00-20-01,מס בולים,0,0,0,0,0,0,0,0,0,0
00,הכנסות המדינה,00-24,אגרות כלי רכב,00-24-01,אגרות כלי רכב,0,0,0,0,0,0,0,0,0,0
00,הכנסות המדינה,00-24,אגרות כלי רכב,00-24-02,אגרות כלי רכב פרטיים,0,0,0,0,0,0,0,0,0,0
00,הכנסות המדינה,00-24,אגרות כלי רכב,00-24-03,אגרות כלי רכב מסחריים,0,0,0,0,0,0,0,0,0,0
00,הכנסות המדינה,00-25,אגרות קנסות ורשיונות,00-25-01,אגרות קנסות ורשיונות,0,0,0,0,0,0,0,0,0,0
00,הכנסות המדינה,00-25,אגרות קנסות ורשיונות,00-25-02,אגרות בתי משפט,0,0,0,0,0,0,0,0,0,0
00,הכנסות המדינה,00-25,אגרות קנסות ורשיונות,00-25-03,אגרות תדרים,0,0,0,0,0,0,0,0,0,0
