שנה,סעיף מוביל,מספר בקשה,תיאור בקשה,קוד שינוי,שם שינוי,קוד סוג בקשה,שם סוג בקשה,מספר וועדה,קוד תוכנית,שם תוכנית,הוצאות נטו,הוצאה מותנית בהכנסה,הכנסה מיועדת,הרשאה להתחייב,שיא כא
2006,01,001,עודפים מחוייבים,5,עודפים,3,הודעה לועדה,0,010103,לשכת הנשיא לשעבר קציר,2,0,0,0,0
2006,01,001,עודפים מחוייבים,5,עודפים,3,הודעה לועדה,0,010104,לשכת הנשיא לשעבר נבון,7,0,0,0,0
2006,01,001,עודפים מחוייבים,5,עודפים,3,הודעה לועדה,0,010105,לשכת אשת הנשיא לשעבר,4,0,0,0,0
2006,01,001,עודפים מחוייבים,5,עודפים,3,הודעה לועדה,0,010106,לשכת אשת הנשיא לשעבר,21,0,0,0,0
2006,01,001,עודפים מחוייבים,5,עודפים,3,הודעה לועדה,0,010109,אמרכלות,596,0,0,0,0
2006,01,001,עודפים מחוייבים,5,עודפים,3,הודעה לועדה,0,010110,"טיסות לחו""ל",227,0,0,0,0
2006,01,002,עודפים מותנים,5,עודפים,3,הודעה לועדה,0,010109,אמרכלות,193,0,0,0,0
2006,01,002,עודפים מותנים,5,עודפים,3,הודעה לועדה,0,010110,"טיסות לחו""ל",5,0,0,0,0
2006,01,004,ועדה,9,מרזרבה כללית,2,אישור ועדה,256,010101,נשיא,-192,0,0,0,0
2006,01,004,ועדה,9,מרזרבה כללית,2,אישור ועדה,256,010102,לשכת הנשיא,765,0,0,0,0
2006,01,004,ועדה,9,מרזרבה כללית,2,אישור ועדה,256,010103,לשכת הנשיא לשעבר קציר,-10,0,0,0,0
2006,01,004,ועדה,9,מרזרבה כללית,2,אישור ועדה,256,010104,לשכת הנשיא לשעבר נבון,45,0,0,0,0
2006,01,004,ועדה,9,מרזרבה כללית,2,אישור ועדה,256,010105,לשכת אשת הנשיא לשעבר,0,0,0,0,0
2006,01,004,ועדה,9,מרזרבה כללית,2,אישור ועדה,256,010106,לשכת אשת הנשיא לשעבר,52,0,0,0,0
2006,01,004,ועדה,9,מרזרבה כללית,2,אישור ועדה,256,010109,אמרכלות,1975,0,0,0,0
2006,01,004,ועדה,9,מרזרבה כללית,2,אישור ועדה,256,010110,"טיסות לחו""ל",-150,0,0,0,0
2006,01,004,ועדה,9,מרזרבה כללית,2,אישור ועדה,256,010201,רזרבות,-604,0,0,0,0
2006,01,004,ועדה,9,מרזרבה כללית,2,אישור ועדה,256,470101,רזרבה כללית,-1881,0,0,0,0
2006,01,005,סוף שנה,7,שינוי פנימי,2,אישור ועדה,520,010101,נשיא,-10,0,0,0,0
2006,01,005,סוף שנה,7,שינוי פנימי,2,אישור ועדה,520,010102,לשכת הנשיא,182,0,0,0,0
2006,01,005,סוף שנה,7,שינוי פנימי,2,אישור ועדה,520,010103,לשכת הנשיא לשעבר קציר,3,0,0,0,0
2006,01,005,סוף שנה,7,שינוי פנימי,2,אישור ועדה,520,010104,לשכת הנשיא לשעבר נבון,-11,0,0,0,0
2006,01,005,סוף שנה,7,שינוי פנימי,2,אישור ועדה,520,010105,לשכת אשת הנשיא לשעבר,-2,0,0,0,0
2006,01,005,סוף שנה,7,שינוי פנימי,2,אישור ועדה,520,010106,לשכת אשת הנשיא לשעבר,-89,0,0,0,0
2006,01,005,סוף שנה,7,שינוי פנימי,2,אישור ועדה,520,010109,אמרכלות,227,0,0,0,0
2006,01,005,סוף שנה,7,שינוי פנימי,2,אישור ועדה,520,010110,"טיסות לחו""ל",-300,0,0,0,0
2006,02,001,עודפים,5,עודפים,3,הודעה לועדה,0,020202,תנאי חברי הכנסת,3860,0,0,0,0
2006,02,001,עודפים,5,עודפים,3,הודעה לועדה,0,020301,שירותים מקצועיים,"3,656",0,0,0,0
2006,02,001,עודפים,5,עודפים,3,הודעה לועדה,0,020302,קשרי חוץ טקסים וקרנות,"3,547",0,0,0,0
2006,02,001,עודפים,5,עודפים,3,הודעה לועדה,0,020304,הוצאות עובדי הכנסת,150,0,0,0,0
2006,02,001,עודפים,5,עודפים,3,הודעה לועדה,0,020305,אמרכלות,9330,0,0,0,0
2006,02,001,עודפים,5,עודפים,3,הודעה לועדה,0,020306,ביטחון,"1,305",0,0,0,0
2006,02,001,עודפים,5,עודפים,3,הודעה לועדה,0,020307,ניהול מערכות מחשב,"8,040",0,0,0,0
2006,02,001,עודפים,5,עודפים,3,הודעה לועדה,0,020501,תוספת מבנה,20200,0,0,0,0
2006,02,002,עודפים,5,עודפים,3,הודעה לועדה,0,020301,שירותים מקצועיים,"1,794",0,0,0,0
2006,02,003,קיצוץ,8,לרזרבה כללית,3,הודעה לועדה,0,020202,תנאי חברי הכנסת,-900,0,0,0,0
2006,02,003,קיצוץ,8,לרזרבה כללית,3,הודעה לועדה,0,020301,שירותים מקצועיים,-250,0,0,0,0
2006,02,003,קיצוץ,8,לרזרבה כללית,3,הודעה לועדה,0,020302,קשרי חוץ טקסים וקרנות,-150,0,0,0,0
2006,02,003,קיצוץ,8,לרזרבה כללית,3,הודעה לועדה,0,020304,הוצאות עובדי הכנסת,-210,0,0,0,0
