שנה,סעיף מוביל,מספר בקשה,תיאור בקשה,קוד שינוי,שם שינוי,קוד סוג בקשה,שם סוג בקשה,מספר וועדה,קוד תוכנית,שם תוכנית,הוצאות נטו,הוצאה מותנית בהכנסה,הכנסה מיועדת,הרשאה להתחייב,שיא כא,תאריך אישור
2012,1,1,הפחתה מספר 1,2,קיצוץ לרזרבה,2,אישור ועדה,9000,10104,לשכת הנשיא לשעבר נבון,-17,0,0,0,0,B109-Jan-12
2012,1,1,הפחתה מספר 1,2,קיצוץ לרזרבה,2,אישור ועדה,9000,10105,לשכת אשת הנשיא לשעבר,-30,0,0,0,0,B109-Jan-12
2012,1,1,הפחתה מספר 1,2,קיצוץ לרזרבה,2,אישור ועדה,9000,10106,לשכת אשת הנשיא לשעבר,-50,0,0,0,0,B109-Jan-12
2012,1,1,הפחתה מספר 1,2,קיצוץ לרזרבה,2,אישור ועדה,9000,10107,לשכת הנשיא לשעבר - משה,-110,0,0,0,0,B109-Jan-12
2012,1,1,הפחתה מספר 1,2,קיצוץ לרזרבה,2,אישור ועדה,9000,10109,אמרכלות,-332,0,0,0,0,B109-Jan-12
2012,1,2,קיצוץ 1% בקניות,2,קיצוץ לרזרבה,2,אישור ועדה,9001,10106,לשכת אשת הנשיא לשעבר,-1,0,0,0,0,B109-Jan-12
2012,1,2,קיצוץ 1% בקניות,2,קיצוץ לרזרבה,2,אישור ועדה,9001,10107,לשכת הנשיא לשעבר - משה,-25,0,0,0,0,B109-Jan-12
2012,1,2,קיצוץ 1% בקניות,2,קיצוץ לרזרבה,2,אישור ועדה,9001,10109,אמרכלות,-147,0,0,0,0,B109-Jan-12
2012,1,3,הפחתה 2% בתקציב הקניות,2,קיצוץ לרזרבה,2,אישור ועדה,9002,10106,לשכת אשת הנשיא לשעבר,-2,0,0,0,0,B105-Mar-12
2012,1,3,הפחתה 2% בתקציב הקניות,2,קיצוץ לרזרבה,2,אישור ועדה,9002,10107,לשכת הנשיא לשעבר - משה,-8,0,0,0,0,B105-Mar-12
2012,1,3,הפחתה 2% בתקציב הקניות,2,קיצוץ לרזרבה,2,אישור ועדה,9002,10109,אמרכלות,-364,0,0,0,0,B105-Mar-12
2012,1,4,הפחתה 4%,2,קיצוץ לרזרבה,2,אישור ועדה,9003,10106,לשכת אשת הנשיא לשעבר,-1,0,0,0,0,B105-Mar-12
2012,1,4,הפחתה 4%,2,קיצוץ לרזרבה,2,אישור ועדה,9003,10109,אמרכלות,-747,0,0,0,0,B105-Mar-12
2012,1,5,80% מהעודפים מחויבים בבית הנשיא,5,עודפים,3,הודעה לועדה,0,10103,לשכת הנשיא לשעבר קציר,38,0,0,0,0,B106-Mar-12
2012,1,5,80% מהעודפים מחויבים בבית הנשיא,5,עודפים,3,הודעה לועדה,0,10104,לשכת הנשיא לשעבר נבון,170,0,0,0,0,B106-Mar-12
2012,1,5,80% מהעודפים מחויבים בבית הנשיא,5,עודפים,3,הודעה לועדה,0,10105,לשכת אשת הנשיא לשעבר,60,0,0,0,0,B106-Mar-12
2012,1,5,80% מהעודפים מחויבים בבית הנשיא,5,עודפים,3,הודעה לועדה,0,10106,לשכת אשת הנשיא לשעבר,40,0,0,0,0,B106-Mar-12
2012,1,5,80% מהעודפים מחויבים בבית הנשיא,5,עודפים,3,הודעה לועדה,0,10107,לשכת הנשיא לשעבר - משה,15,0,0,0,0,B106-Mar-12
2012,1,5,80% מהעודפים מחויבים בבית הנשיא,5,עודפים,3,הודעה לועדה,0,10109,אמרכלות,"4,232",0,0,0,0,B106-Mar-12
2012,1,5,80% מהעודפים מחויבים בבית הנשיא,5,עודפים,3,הודעה לועדה,0,10110,"טיסות לחו""ל","2,363",0,0,0,0,B106-Mar-12
2012,1,7,העברת 20% מהעודפים המחויבים משנת 2011,5,עודפים,3,הודעה לועדה,0,10102,לשכת הנשיא,2,0,0,0,0,B123-May-12
2012,1,7,העברת 20% מהעודפים המחויבים משנת 2011,5,עודפים,3,הודעה לועדה,0,10103,לשכת הנשיא לשעבר קציר,9,0,0,0,0,B123-May-12
2012,1,7,העברת 20% מהעודפים המחויבים משנת 2011,5,עודפים,3,הודעה לועדה,0,10104,לשכת הנשיא לשעבר נבון,41,0,0,0,0,B123-May-12
2012,1,7,העברת 20% מהעודפים המחויבים משנת 2011,5,עודפים,3,הודעה לועדה,0,10105,לשכת אשת הנשיא לשעבר,16,0,0,0,0,B123-May-12
2012,1,7,העברת 20% מהעודפים המחויבים משנת 2011,5,עודפים,3,הודעה לועדה,0,10106,לשכת אשת הנשיא לשעבר,9,0,0,0,0,B123-May-12
2012,1,7,העברת 20% מהעודפים המחויבים משנת 2011,5,עודפים,3,הודעה לועדה,0,10107,לשכת הנשיא לשעבר - משה,3,0,0,0,0,B123-May-12
2012,1,7,העברת 20% מהעודפים המחויבים משנת 2011,5,עודפים,3,הודעה לועדה,0,10109,אמרכלות,"1,059",0,0,0,0,B123-May-12
2012,1,7,העברת 20% מהעודפים המחויבים משנת 2011,5,עודפים,3,הודעה לועדה,0,10110,"טיסות לחו""ל",591,0,0,0,0,B123-May-12
2012,1,8,העברת עודפים לא מחויבים,5,עודפים,3,הודעה לועדה,0,10201,רזרבות,"1,561",0,0,0,0,B123-May-12
2012,1,9,קיצוץ 2% בשכר,1,קיצוץ,2,אישור ועדה,9006,10102,לשכת הנשיא,-413,0,0,0,0,B112-Sep-12
