שנה,סעיף מוביל,מספר בקשה,תיאור בקשה,קוד שינוי,שם שינוי,קוד סוג בקשה,שם סוג בקשה,מספר וועדה,קוד תוכנית,שם תוכנית,הוצאות נטו,הוצאה מותנית בהכנסה,הכנסה מיועדת,הרשאה להתחייב,שיא כא
2007,00,001,קנסות חוק התכנון והבנייה,7,שינוי פנימי,1,אישור אגף,0,002507,אגרות,0,0,0,0,0
2007,01,002,קיצוץ 3.5%,2,קיצוץ לרזרבה,2,אישור ועדה,9000,010110,"טיסות לחו""ל",-327,0,0,0,0
2007,01,003,ועדה,17,הקצאות מהרזרבה הכללית,2,אישור ועדה,35,010101,נשיא,0,0,0,0,0
2007,01,003,ועדה,17,הקצאות מהרזרבה הכללית,2,אישור ועדה,35,010102,לשכת הנשיא,150,0,0,0,0
2007,01,003,ועדה,17,הקצאות מהרזרבה הכללית,2,אישור ועדה,35,010109,אמרכלות,2039,0,0,0,0
2007,01,003,ועדה,17,הקצאות מהרזרבה הכללית,2,אישור ועדה,35,010110,"טיסות לחו""ל",-795,0,0,0,0
2007,01,003,ועדה,17,הקצאות מהרזרבה הכללית,2,אישור ועדה,35,470101,רזרבה כללית,-1394,0,0,0,0
2007,01,004,עודפים,5,עודפים,3,הודעה לועדה,0,010103,לשכת הנשיא לשעבר קציר,5,0,0,0,0
2007,01,004,עודפים,5,עודפים,3,הודעה לועדה,0,010104,לשכת הנשיא לשעבר נבון,18,0,0,0,0
2007,01,004,עודפים,5,עודפים,3,הודעה לועדה,0,010105,לשכת אשת הנשיא לשעבר,4,0,0,0,0
2007,01,004,עודפים,5,עודפים,3,הודעה לועדה,0,010106,לשכת אשת הנשיא לשעבר,4,0,0,0,0
2007,01,004,עודפים,5,עודפים,3,הודעה לועדה,0,010109,אמרכלות,750,0,0,0,0
2007,01,004,עודפים,5,עודפים,3,הודעה לועדה,0,010110,"טיסות לחו""ל",210,0,0,0,0
2007,01,005,עודפים מותנים,5,עודפים,3,הודעה לועדה,0,010109,אמרכלות,273,0,0,0,0
2007,01,007,העסקת מאבטחים,7,שינוי פנימי,1,אישור אגף,0,010109,אמרכלות,0,0,0,0,0
2007,01,008,קיצוץ,2,קיצוץ לרזרבה,2,אישור ועדה,9001,010101,נשיא,-120,0,0,0,0
2007,01,008,קיצוץ,2,קיצוץ לרזרבה,2,אישור ועדה,9001,010106,לשכת אשת הנשיא לשעבר,-30,0,0,0,0
2007,01,008,קיצוץ,2,קיצוץ לרזרבה,2,אישור ועדה,9001,010109,אמרכלות,-27,0,0,0,0
2007,01,008,קיצוץ,2,קיצוץ לרזרבה,2,אישור ועדה,9001,010110,"טיסות לחו""ל",-200,0,0,0,0
2007,01,008,קיצוץ,2,קיצוץ לרזרבה,2,אישור ועדה,9001,010201,רזרבות,-183,0,0,0,0
2007,01,009,קצב רק אבטחה,9,מרזרבה כללית,2,אישור ועדה,405,010107,לשכת הנשיא לשעבר - משה,130,0,0,0,1
2007,01,009,קצב רק אבטחה,9,מרזרבה כללית,2,אישור ועדה,405,010109,אמרכלות,1053,0,0,0,0
2007,01,009,קצב רק אבטחה,9,מרזרבה כללית,2,אישור ועדה,405,470101,רזרבה כללית,-1183,0,0,0,-1
2007,01,011,ועדה,9,מרזרבה כללית,2,אישור ועדה,460,010103,לשכת הנשיא לשעבר קציר,270,0,0,0,0
2007,01,011,ועדה,9,מרזרבה כללית,2,אישור ועדה,460,010109,אמרכלות,1730,0,0,0,0
2007,01,011,ועדה,9,מרזרבה כללית,2,אישור ועדה,460,010110,"טיסות לחו""ל","1,500",0,0,0,0
2007,01,011,ועדה,9,מרזרבה כללית,2,אישור ועדה,460,470101,רזרבה כללית,-3500,0,0,0,0
2007,01,012,שעות נוספות,7,שינוי פנימי,2,אישור ועדה,573,010102,לשכת הנשיא,270,0,0,0,0
2007,01,012,שעות נוספות,7,שינוי פנימי,2,אישור ועדה,573,010103,לשכת הנשיא לשעבר קציר,-270,0,0,0,0
2007,01,013,סוף שנה,7,שינוי פנימי,2,אישור ועדה,763,010102,לשכת הנשיא,580,0,0,0,0
2007,01,013,סוף שנה,7,שינוי פנימי,2,אישור ועדה,763,010103,לשכת הנשיא לשעבר קציר,-45,0,0,0,0
2007,01,013,סוף שנה,7,שינוי פנימי,2,אישור ועדה,763,010105,לשכת אשת הנשיא לשעבר,-8,0,0,0,0
2007,01,013,סוף שנה,7,שינוי פנימי,2,אישור ועדה,763,010106,לשכת אשת הנשיא לשעבר,-158,0,0,0,0
2007,01,013,סוף שנה,7,שינוי פנימי,2,אישור ועדה,763,010109,אמרכלות,-29,0,0,0,0
2007,01,013,סוף שנה,7,שינוי פנימי,2,אישור ועדה,763,010110,"טיסות לחו""ל",-340,0,0,0,0
2007,01,014,שינוי פנימי,7,שינוי פנימי,1,אישור אגף,0,010103,לשכת הנשיא לשעבר קציר,0,0,0,0,0
2007,01,014,שינוי פנימי,7,שינוי פנימי,1,אישור אגף,0,010104,לשכת הנשיא לשעבר נבון,0,0,0,0,0
2007,01,014,שינוי פנימי,7,שינוי פנימי,1,אישור אגף,0,010105,לשכת אשת הנשיא לשעבר,0,0,0,0,0
2007,01,015,בוש,7,שינוי פנימי,1,אישור אגף,0,010109,אמרכלות,0,0,0,0,0
2007,02,002,עודפים מחוייבים,5,עודפים,3,הודעה לועדה,0,020202,תנאי חברי הכנסת,"4,110",0,0,0,0
2007,02,002,עודפים מחוייבים,5,עודפים,3,הודעה לועדה,0,020301,שירותים מקצועיים,"4,320",0,0,0,0
2007,02,002,עודפים מחוייבים,5,עודפים,3,הודעה לועדה,0,020302,קשרי חוץ טקסים וקרנות,3425,0,0,0,0
2007,02,002,עודפים מחוייבים,5,עודפים,3,הודעה לועדה,0,020304,הוצאות עובדי הכנסת,9080,0,0,0,0
2007,02,002,עודפים מחוייבים,5,עודפים,3,הודעה לועדה,0,020305,אמרכלות,13720,0,0,0,0
2007,02,002,עודפים מחוייבים,5,עודפים,3,הודעה לועדה,0,020306,ביטחון,"7,610",0,0,0,0
2007,02,002,עודפים מחוייבים,5,עודפים,3,הודעה לועדה,0,020307,ניהול מערכות מחשב,8120,0,0,0,0
2007,02,002,עודפים מחוייבים,5,עודפים,3,הודעה לועדה,0,020501,תוספת מבנה,90,0,0,0,0
2007,02,003,עודפים מחוייבים 2,5,עודפים,3,הודעה לועדה,0,020501,תוספת מבנה,"28,325",0,0,0,0
2007,02,004,ועדה,7,שינוי פנימי,3,הודעה לועדה,0,020202,תנאי חברי הכנסת,100,0,0,0,0
2007,02,004,ועדה,7,שינוי פנימי,3,הודעה לועדה,0,020302,קשרי חוץ טקסים וקרנות,-800,0,0,0,0
2007,02,004,ועדה,7,שינוי פנימי,3,הודעה לועדה,0,020304,הוצאות עובדי הכנסת,"5,000",0,0,0,0
2007,02,004,ועדה,7,שינוי פנימי,3,הודעה לועדה,0,020305,אמרכלות,800,0,0,0,0
2007,02,004,ועדה,7,שינוי פנימי,3,הודעה לועדה,0,020401,רזרבה,"-5,100",0,0,0,0
2007,03,001,תקצוב אבטחת ליברמן ר.כ,17,הקצאות מהרזרבה הכללית,2,אישור ועדה,10,030102,אבטחת שרים,3300,0,0,0,0
2007,03,001,תקצוב אבטחת ליברמן ר.כ,17,הקצאות מהרזרבה הכללית,2,אישור ועדה,10,470101,רזרבה כללית,-3300,0,0,0,0
