שנה,סעיף מוביל,מספר בקשה,תיאור בקשה,קוד שינוי,שם שינוי,קוד סוג בקשה,שם סוג בקשה,מספר וועדה,קוד תוכנית,שם תוכנית,הוצאות נטו,הוצאה מותנית בהכנסה,הכנסה מיועדת,הרשאה להתחייב,שיא כא
2010,01,001,ביצוע החלטת ממשלה לגבי קיצוץ בגובה 2%.,2,קיצוץ לרזרבה,2,אישור ועדה,9000,010103,לשכת הנשיא לשעבר קציר,-526,0,0,0,0
2010,01,001,ביצוע החלטת ממשלה לגבי קיצוץ בגובה 2%.,2,קיצוץ לרזרבה,2,אישור ועדה,9000,010109,אמרכלות,-140,0,0,0,0
2010,01,002,פניית עודפים,5,עודפים,3,הודעה לועדה,0,010103,לשכת הנשיא לשעבר קציר,231,0,0,0,0
2010,01,002,פניית עודפים,5,עודפים,3,הודעה לועדה,0,010104,לשכת הנשיא לשעבר נבון,24,0,0,0,0
2010,01,002,פניית עודפים,5,עודפים,3,הודעה לועדה,0,010105,לשכת אשת הנשיא לשעבר,22,0,0,0,0
2010,01,002,פניית עודפים,5,עודפים,3,הודעה לועדה,0,010106,לשכת אשת הנשיא לשעבר,23,0,0,0,0
2010,01,002,פניית עודפים,5,עודפים,3,הודעה לועדה,0,010107,לשכת הנשיא לשעבר - משה,83,0,0,0,0
2010,01,002,פניית עודפים,5,עודפים,3,הודעה לועדה,0,010109,אמרכלות,3075,0,0,0,0
2010,01,002,פניית עודפים,5,עודפים,3,הודעה לועדה,0,010110,"טיסות לחו""ל",2339,0,0,0,0
2010,01,003,פניית 25% עודפים נשיא,5,עודפים,3,הודעה לועדה,0,010103,לשכת הנשיא לשעבר קציר,78,0,0,0,0
2010,01,003,פניית 25% עודפים נשיא,5,עודפים,3,הודעה לועדה,0,010104,לשכת הנשיא לשעבר נבון,8,0,0,0,0
2010,01,003,פניית 25% עודפים נשיא,5,עודפים,3,הודעה לועדה,0,010105,לשכת אשת הנשיא לשעבר,8,0,0,0,0
2010,01,003,פניית 25% עודפים נשיא,5,עודפים,3,הודעה לועדה,0,010106,לשכת אשת הנשיא לשעבר,8,0,0,0,0
2010,01,003,פניית 25% עודפים נשיא,5,עודפים,3,הודעה לועדה,0,010107,לשכת הנשיא לשעבר - משה,28,0,0,0,0
2010,01,003,פניית 25% עודפים נשיא,5,עודפים,3,הודעה לועדה,0,010109,אמרכלות,1023,0,0,0,0
2010,01,003,פניית 25% עודפים נשיא,5,עודפים,3,הודעה לועדה,0,010110,"טיסות לחו""ל",780,0,0,0,0
2010,01,004,עודף משוריין - ועדת עזבונות,5,עודפים,3,הודעה לועדה,0,010101,נשיא,542,0,0,0,0
2010,01,005,"פנית יוני-תקנים, ו.עזבונות, טיסות ובטחון",9,מרזרבה כללית,2,אישור ועדה,353,010101,נשיא,0,0,0,0,0
2010,01,005,"פנית יוני-תקנים, ו.עזבונות, טיסות ובטחון",9,מרזרבה כללית,2,אישור ועדה,353,010102,לשכת הנשיא,150,0,0,0,1
2010,01,005,"פנית יוני-תקנים, ו.עזבונות, טיסות ובטחון",9,מרזרבה כללית,2,אישור ועדה,353,010103,לשכת הנשיא לשעבר קציר,-150,0,0,0,-1
2010,01,005,"פנית יוני-תקנים, ו.עזבונות, טיסות ובטחון",9,מרזרבה כללית,2,אישור ועדה,353,010109,אמרכלות,1750,0,0,0,0
2010,01,005,"פנית יוני-תקנים, ו.עזבונות, טיסות ובטחון",9,מרזרבה כללית,2,אישור ועדה,353,010110,"טיסות לחו""ל",2000,500,-500,0,0
2010,01,005,"פנית יוני-תקנים, ו.עזבונות, טיסות ובטחון",9,מרזרבה כללית,2,אישור ועדה,353,470102,תוכנית מעבר - רזרבה,-3750,0,0,0,0
2010,01,006,פלאט 2% 2010,2,קיצוץ לרזרבה,2,אישור ועדה,9001,010104,לשכת הנשיא לשעבר נבון,-9,0,0,0,0
2010,01,006,פלאט 2% 2010,2,קיצוץ לרזרבה,2,אישור ועדה,9001,010105,לשכת אשת הנשיא לשעבר,-24,0,0,0,0
2010,01,006,פלאט 2% 2010,2,קיצוץ לרזרבה,2,אישור ועדה,9001,010106,לשכת אשת הנשיא לשעבר,-40,0,0,0,0
2010,01,006,פלאט 2% 2010,2,קיצוץ לרזרבה,2,אישור ועדה,9001,010107,לשכת הנשיא לשעבר - משה,-10,0,0,0,0
2010,01,006,פלאט 2% 2010,2,קיצוץ לרזרבה,2,אישור ועדה,9001,010109,אמרכלות,-250,0,0,0,0
2010,01,007,העברת תקני רכב בין תקנות,7,שינוי פנימי,1,אישור אגף,0,010106,לשכת אשת הנשיא לשעבר,0,0,0,0,0
2010,01,007,העברת תקני רכב בין תקנות,7,שינוי פנימי,1,אישור אגף,0,010109,אמרכלות,0,0,0,0,0
2010,01,008,"טיסות +שיפוץ +שכ""ד ורכב",9,מרזרבה כללית,2,אישור ועדה,621,010109,אמרכלות,1469,0,0,0,0
2010,01,008,"טיסות +שיפוץ +שכ""ד ורכב",9,מרזרבה כללית,2,אישור ועדה,621,010110,"טיסות לחו""ל","1,000",0,0,0,0
2010,01,008,"טיסות +שיפוץ +שכ""ד ורכב",9,מרזרבה כללית,2,אישור ועדה,621,470102,תוכנית מעבר - רזרבה,"-2,469",0,0,0,0
2010,01,009,העברת רזרבת יעד ההוצאה לרזרבה הכללית,8,לרזרבה כללית,2,אישור ועדה,663,010201,רזרבות,-367,0,0,0,0
2010,01,009,העברת רזרבת יעד ההוצאה לרזרבה הכללית,8,לרזרבה כללית,2,אישור ועדה,663,470102,תוכנית מעבר - רזרבה,367,0,0,0,0
2010,01,010,עודפים לא מחויבים,5,עודפים,3,הודעה לועדה,0,010201,רזרבות,764,0,0,0,0
2010,01,011,העברת רזרבת יעד ההוצאה לרזרבה הכללית,8,לרזרבה כללית,2,אישור ועדה,735,010201,רזרבות,-764,0,0,0,0
2010,01,011,העברת רזרבת יעד ההוצאה לרזרבה הכללית,8,לרזרבה כללית,2,אישור ועדה,735,470102,תוכנית מעבר - רזרבה,764,0,0,0,0
2010,01,012,הסטות סוף שנה,7,שינוי פנימי,1,אישור אגף,0,010104,לשכת הנשיא לשעבר נבון,0,0,0,0,0
2010,01,013,גרעונות שכר - נשיא,9,מרזרבה כללית,2,אישור ועדה,866,010101,נשיא,-110,0,0,0,0
2010,01,013,גרעונות שכר - נשיא,9,מרזרבה כללית,2,אישור ועדה,866,010102,לשכת הנשיא,"1,250",0,0,0,0
2010,01,013,גרעונות שכר - נשיא,9,מרזרבה כללית,2,אישור ועדה,866,010103,לשכת הנשיא לשעבר קציר,8,0,0,0,0
2010,01,013,גרעונות שכר - נשיא,9,מרזרבה כללית,2,אישור ועדה,866,010104,לשכת הנשיא לשעבר נבון,15,0,0,0,0
2010,01,013,גרעונות שכר - נשיא,9,מרזרבה כללית,2,אישור ועדה,866,010105,לשכת אשת הנשיא לשעבר,-15,0,0,0,0
2010,01,013,גרעונות שכר - נשיא,9,מרזרבה כללית,2,אישור ועדה,866,010106,לשכת אשת הנשיא לשעבר,-81,0,0,0,0
2010,01,013,גרעונות שכר - נשיא,9,מרזרבה כללית,2,אישור ועדה,866,010107,לשכת הנשיא לשעבר - משה,-120,0,0,0,0
2010,01,013,גרעונות שכר - נשיא,9,מרזרבה כללית,2,אישור ועדה,866,010109,אמרכלות,"1,790",0,0,0,0
2010,01,013,גרעונות שכר - נשיא,9,מרזרבה כללית,2,אישור ועדה,866,010201,רזרבות,-576,0,0,0,0
2010,01,013,גרעונות שכר - נשיא,9,מרזרבה כללית,2,אישור ועדה,866,470102,תוכנית מעבר - רזרבה,"-2,161",0,0,0,0
2010,02,001,עודפים מחויבים בתקציב הכנסת,5,עודפים,3,הודעה לועדה,0,020202,תנאי חברי הכנסת,"7,610",0,0,0,0
2010,02,001,עודפים מחויבים בתקציב הכנסת,5,עודפים,3,הודעה לועדה,0,020301,שירותים מקצועיים,"8,450",0,0,0,0
2010,02,001,עודפים מחויבים בתקציב הכנסת,5,עודפים,3,הודעה לועדה,0,020302,קשרי חוץ טקסים וקרנות,400,0,0,0,0
2010,02,001,עודפים מחויבים בתקציב הכנסת,5,עודפים,3,הודעה לועדה,0,020304,הוצאות עובדי הכנסת,360,0,0,0,0
2010,02,001,עודפים מחויבים בתקציב הכנסת,5,עודפים,3,הודעה לועדה,0,020305,אמרכלות,11680,0,0,0,0
2010,02,001,עודפים מחויבים בתקציב הכנסת,5,עודפים,3,הודעה לועדה,0,020306,ביטחון,4060,0,0,0,0
2010,02,001,עודפים מחויבים בתקציב הכנסת,5,עודפים,3,הודעה לועדה,0,020307,ניהול מערכות מחשב,7900,0,0,0,0
2010,02,001,עודפים מחויבים בתקציב הכנסת,5,עודפים,3,הודעה לועדה,0,020501,תוספת מבנה,"16,300",0,0,0,0
2010,02,002,שינויים פנימיים בתקציב הכנסת,7,שינוי פנימי,2,אישור ועדה,591,020304,הוצאות עובדי הכנסת,-300,0,0,0,0
2010,02,002,שינויים פנימיים בתקציב הכנסת,7,שינוי פנימי,2,אישור ועדה,591,020305,אמרכלות,"1,400",0,0,0,0
2010,02,002,שינויים פנימיים בתקציב הכנסת,7,שינוי פנימי,2,אישור ועדה,591,020307,ניהול מערכות מחשב,"3,500",0,0,0,0
2010,02,002,שינויים פנימיים בתקציב הכנסת,7,שינוי פנימי,2,אישור ועדה,591,020401,רזרבה,-4600,0,0,0,0
