שנה,סעיף מוביל,מספר בקשה,תיאור בקשה,קוד שינוי,שם שינוי,קוד סוג בקשה,שם סוג בקשה,מספר וועדה,קוד תוכנית,שם תוכנית,הוצאות נטו,הוצאה מותנית בהכנסה,הכנסה מיועדת,הרשאה להתחייב,שיא כא,תאריך אישור
2013,01,001,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,01-51-01,נשיא המדינה,"10,282",0,0,0,0,B111-Sep-13
2013,01,001,עודפים תקציביים,5,עודפים,3,הודעה לועדה,0,01-51-02,נשיאי המדינה לשעבר,171,0,0,0,0,B111-Sep-13
2013,01,002,שינויים בתקציב בית הנשיא,9,מרזרבה כללית,2,אישור ועדה,107,01-51-01,נשיא המדינה,"1,200",0,0,0,0,B123-Oct-13
2013,01,002,שינויים בתקציב בית הנשיא,9,מרזרבה כללית,2,אישור ועדה,107,47-01-02,תוכנית מעבר - רזרבה,"-1,200",0,0,0,0,B123-Oct-13
2013,01,003,גרעון שכר,9,מרזרבה כללית,2,אישור ועדה,283,01-51-01,נשיא המדינה,"3,255",0,0,0,0,B104-Dec-13
2013,01,003,גרעון שכר,9,מרזרבה כללית,2,אישור ועדה,283,01-51-02,נשיאי המדינה לשעבר,45,0,0,0,0,B104-Dec-13
2013,01,003,גרעון שכר,9,מרזרבה כללית,2,אישור ועדה,283,47-01-02,תוכנית מעבר - רזרבה,"-3,300",0,0,0,0,B104-Dec-13
2013,01,004,העברה לבטחון,2,קיצוץ לרזרבה,2,אישור ועדה,9000,01-52-01,רזרבה,"-1,010",0,0,0,0,B123-Dec-13
2013,02,001,העברת עודפים המחויבים,5,עודפים,3,הודעה לועדה,0,02-02-02,תנאי חברי הכנסת,"5,700",0,0,0,0,B127-Nov-13
2013,02,001,העברת עודפים המחויבים,5,עודפים,3,הודעה לועדה,0,02-03-01,שירותים מקצועיים,"6,940",0,0,0,0,B127-Nov-13
2013,02,001,העברת עודפים המחויבים,5,עודפים,3,הודעה לועדה,0,02-03-02,קשרי חוץ טקסים וקרנות,"1,580",0,0,0,0,B127-Nov-13
2013,02,001,העברת עודפים המחויבים,5,עודפים,3,הודעה לועדה,0,02-03-04,הוצאות עובדי הכנסת,"1,490",0,0,0,0,B127-Nov-13
2013,02,001,העברת עודפים המחויבים,5,עודפים,3,הודעה לועדה,0,02-03-05,אמרכלות,"12,860",0,0,0,0,B127-Nov-13
