שם חברה,תקנה תקציבית,תיאור תקנה תקציבית,הזמנת רכש,מטרת התקשרות,תאריך יצירת ההזמנה,סיום תקופת תוקף,קוד ספק,שם הספק,"ערך ההזמנה כולל מע""מ",מטבע,"ביצוע חשבוניות במטבע מקומי כולל מע""מ והצ",אופן רכישה,סיבת פטור,"מס' פנייה במנו""ף/מנור""",הזמנה רגישה
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501003110,חכירת מכונות צילום,01-04-15,,0040005151,צילומעתיק בעמ,9605.48,ILS,5207.91,תקנה 14ב - מכרז מרכזי,,510342,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501003322,"מעטפות חלון לשכות הוצל""פ פריסה ארצית",01-05-15,,0010000173,המדפיס הממשלתי,33720,ILS,18377.400000000001,פטור ממכרז,תקנה 3(5) - חברה ממשלתית,חברה ממשלתית,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501004544,"אבטחה לשכות הוצל""פ פריסה ארצית מכרז 11/11",01-12-15,01-31-16,0040001063,מודיעין אזרחי בעמ,11999999.970000001,ILS,9849721.6600000001,תקנה 1ב - מכרז פומבי רגיל,,524940,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501006369,שירותי גישור,01-15-15,06-30-15,0040012118,"הגישור ישראל פונטוס בע""מ",4957.5200000000004,ILS,5153.8,פטור ממכרז,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",,לא
רשות האכיפה והגבייה,08550112,הוצאות מחשוב,4501006901,התקשרות חודשית לקבלת שירות איסוף נתונים,01-18-15,,0040141189,"מטאור פלוס למערכות מידע בע""מ",21364.2,ILS,11027.4,פטור ממכרז,תקנה 3(29) - ספק יחיד,561643,לא
רשות האכיפה והגבייה,08550112,הוצאות מחשוב,4501006962,רכישת ציוד,01-18-15,,0040001247,"הראל טכנולוגיות מידע בע""מ",1602.9,ILS,1616.6,פטור ממכרז,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",9999,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501007395,"שו""שים של כלים שלובים",01-18-15,12-31-14,0040001605,"טלדור מערכות מחשבים (1986) בע""מ",585000,ILS,560361.24,פטור ממכרז,תקנה 3(4)(ב)(3) - התקשרות המשך באישור ועדת פטור מרכזית,551394,לא
רשות האכיפה והגבייה,08550112,הוצאות מחשוב,4501009242,אפיון פיתוח ובדיקות עבור מערכת כלים שלובים,01-21-15,12-31-14,0040001605,"טלדור מערכות מחשבים (1986) בע""מ",1170000,ILS,1123339.8,פטור ממכרז,תקנה 3(4)(ב)(3) - התקשרות המשך באישור ועדת פטור מרכזית,551394,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501010329,הרצאה ליום עיון רשמים 12.02.2015,01-25-15,,0041114764,לגזיאל קרן,1037.56,ILS,0,פטור ממכרז,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",,לא
רשות האכיפה והגבייה,08550112,הוצאות מחשוב,4501010957,"איכלוס מדור חדש בהוצל""פ ראשל""צ",01-26-15,,0040015936,"יניר מערכות בע""מ",2171.52,ILS,2190.08,תקנה 14ב - מכרז מרכזי,,528914,לא
