שם חברה,תאור של ארגון רכש,תקנה תקציבית,תיאור תקנה תקציבית,הזמנת רכש,מטרת התקשרות,תאריך יצירת ההזמנה,סיום תקופת תוקף,קוד ספק,שם הספק,"ערך ההזמנה כולל מע""מ",מטבע,"ביצוע חשבוניות במטבע מקומי כולל מע""מ והצ",אופן רכישה,"מס' פנייה במנו""ף/מנור""",סיבת פטור,הזמנה רגישה
רשות האוכלוסין וההגירה,רשות ההגירה,68120110,הוצאות תפעול,4501001599,הזמנה הסטורית מלפני 01.01.2015,01-28-15,,0040491642,מנחם אפיק,9799.66,ILS,9799.66,פטור ממכרז,,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",ערך היסטורי
רשות האוכלוסין וההגירה,רשות ההגירה,68110233,הוצאות תפעול ומחשוב,4501004341,סולר לגנרטור,01-12-15,,0040004164,פז חברת נפט בעמ,5698.39,ILS,3735.61,תקנה 14ב - מכרז מרכזי,9999,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120311,הוצאות תפעול,4501004926,מנויי חניה,01-13-15,,0040547620,שמר אורי,29984.39,ILS,30155.26,פטור ממכרז,חניות,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501005582,טפסים,01-14-15,,0010000173,המדפיס הממשלתי,11400,ILS,11400,מכרז סגור ממוכן - תקנה 4(7) - חברה ממשלתית,9999,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120110,הוצאות תפעול,4501006205,חניות,01-15-15,,0040011436,רשות שדות התעופה-ע.מ,776456.52,ILS,702201.48,פטור ממכרז,9999,תקנה 3(29) - ספק יחיד,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501006822,ציוד משקי,01-18-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",2076.8000000000002,ILS,2076.8000000000002,תקנה 1ב - מכרז פומבי רגיל,מכרז פומבי ציוד משקי,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120310,פעולות הנהלה,4501006945,מעטפות,01-18-15,,0010000173,המדפיס הממשלתי,2838,ILS,2838,פטור ממכרז,מדפיס ממשלתי,תקנה 3(5) - חברה ממשלתית,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501006976,ציוד משקי,01-18-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",566.4,ILS,566.4,תקנה 1ב - מכרז פומבי רגיל,מכרז פומבי ציוד משקי,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120310,פעולות הנהלה,4501007004,הזמנת ציוד,01-18-15,,0010000173,המדפיס הממשלתי,14455,ILS,14455,פטור ממכרז,מדפיס ממשלתי,תקנה 3(5) - חברה ממשלתית,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120310,פעולות הנהלה,4501007019,הזמנת ציוד,01-18-15,,0010000173,המדפיס הממשלתי,5276,ILS,5276,פטור ממכרז,מדפיס ממשלתי,תקנה 3(5) - חברה ממשלתית,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120310,פעולות הנהלה,4501007030,הזמנת ציוד,01-18-15,,0010000173,המדפיס הממשלתי,4341.5,ILS,4341.5,פטור ממכרז,מדפיס ממשלתי,תקנה 3(5) - חברה ממשלתית,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120310,פעולות הנהלה,4501007036,הזמנת ציוד,01-18-15,,0010000173,המדפיס הממשלתי,330,ILS,330,פטור ממכרז,מדפיס ממשלתי,תקנה 3(5) - חברה ממשלתית,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501007209,ציוד משרדי,01-18-15,,0040001212,"שחר - מוצרי נייר בע""מ",12968.2,ILS,12968.2,תקנה 14ב - מכרז מרכזי,521424,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501007247,ציוד משרדי,01-18-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",1408.86,ILS,1332.3,תקנה 14ב - מכרז מרכזי,529619,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501007359,התקנת דיבורית,01-18-15,,0040001174,"פלאפון תקשורת בע""מ",535.42999999999995,ILS,0,תקנה 14ב - מכרז מרכזי,דיבורית,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120110,הוצאות תפעול,4501007561,ציוד לפקחי הגירה,01-19-15,,0040004850,"דליטקס בע""מ",14514,ILS,14514,פטור ממכרז,,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120110,הוצאות תפעול,4501007660,ציוד משרדי מנהל אכיפה וזרים,01-19-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",9067.8799999999992,ILS,8742.2900000000009,תקנה 14ב - מכרז מרכזי,529619,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501008072,מאגר מאוחד,01-19-15,01-18-16,0040223658,"חשמלור עסיס בע""מ",29500,ILS,0,מכרז מרכזי ממוכן,9999,,לא
