budget_code,publication_id,reason,description,volume
20271143,550028,3ג,"הארכת התקשרות במסגרת המכרז והחוזה עם חברת מרמנת - ארגון וניהול פרוייקטים בע""מ, לחלוקת מלגות לתלמידים וסטודנטים באמצעות מוסדות החינוך או מלגות אישית לפי סעיף 3ג - לתח""מ.","918,180.89"
20241245,549986,3(4)(ב)(3),"ועדת הרכישות של המשרד ממליצה לוועדת הפטור באוצר להאריך התקשרות עם החברה למתנ""סים, כזורע ביצוע של המשרד לנושא: ייזום, ניהול, פיתוח וארגון של מרכזים קהילתיים לתקופה מיום 1.1.14 עד 31.3.14 בהיקף של 25,103,583.31 ש""ח עפ""י תכנית העבודה המצ""ב. הארכת ההתקשרות נדרשת עד לגמר הליכי חתימה על הסכם מסגרת.",25103583
20210504,549888,3(29),התקשרות עם חב' יבמ לצורך שכירת מערכת ההפעלה של מחשב הMF. לפי תקנה 3(29).,"1,230,683.91"
20240246,549887,3(4)(ב)(2),"התקשרות עם משגב עורי - הפקות בע""מ להפקת אירועים ופעולות במסגרת פעילות תרבות ואמנות בשכונות ובערי הפיתוח. לפי תקנה 3ג.","2,008,141.6"
20220645,549886,3ג,"תיקון החלטה מיום 1.12.2013 דיון 80 התקשרות עם חב' מודיעין אזרחי בע""מ למחוזות חיפה וצפון.","518,110.86"
20220645,549885,3ג,"תיקון החלטת מיום 1.12.2013 דיון 81 התקשרות עם חב' שמירה בע""מ מחוז דרום.",193638
20220649,549884,3ג,"הארכת התקשרות עם חברת אפקון בקרה ואוטומציה, לביצוע שרות ואחזקה למערכות מנ""מ זאת לאחר שפורסמה הודעה באינטרנט והוגדרה אופציה להארכה לתקופה של 6 חודעים נוספים, או עד לסיום הליכי המכרז ולהודעה שפורסמה לא התקבלו השגות.","162,261.98"
20230801,549883,3(30),"התקשרות עם מכון מרחבים במיזם משותף ועם משרד ראש הממשלה לליווי קליטתם של כ-100 מורים ערבים מצטיינים בתחומי מתמטיקה, אנגלית ומדעים במערכך החינוך העברי. לפי תקנה 3(30).",1196169
20230801,549875,3ג,"התקשרות עם מכללת קיי להפעלת המרכז להשתלמויות בתחומי היהדות והדמוקרטיה באזור הדרום.לפי סעיף 3ג לתח""מ.",1507140
20260244,549873,3ג,"הארכת התקשרות עם חס' סייט אנד סאונד בע""מ להפעלת פעולות ש""ר, הארכת ללא תוספת תקציב לפי תקנה 3ג.",0
20261261,549715,3ג,"הועדה המשרדית אישרה הארכה התקשרות עם עמותת אתגרים לשנה שניה למכרז 15/6.12 + שלישית, לביצוע פעילויות ספורט אתגרי, נופש וחוויה למוסדות החינוך המיוחד. ההתקשרות אושרה לפי תקנה 3ג לתח""ם מימוש זכות ביררה בהסכם.",4070460
20241639,549714,3ג,"הועדה המשרדית אישרה הרחבת התקשרות עם המתנסי""ם לפתיחת כיתות נוספות להשלמת השכלה בישובים הבדואים בנגב במסגרת תכנית החומש (עפ""י החלטת ממשלה), למסגרת השנה הרביעית למכרז 40/7.08 מאגר יוזמי ומפעילי פעילות חינוכית למבוגרים. ההתקשרות אושרה לפי תקנה 3ג לתח""ם מימוש זכות ביררה בהסכם.",2123733
