מ. ד. נתיבות,,,
קניון עומר,,,
"העמותה למען הקשיש בשלומי, מעלה יוסף",http://www.guidestar.org.il/organization/580286672,"לפעול לרווחת הקשישים בשלומי ובישובי המועצות 
האיזוריות מעלה יוסף ומטה אשר. ייזום ופיתוח 
מערכת שירותים קהילתיים לקשישים. לפעול לתאום 
בין כל הגורמים המקצועיים והמתנדבים הקשורים 
בטיפול בקשיש. לעודד מודעות ציבורית רחבה לנושא","בן גוריון 1 אצל מועצה מקומית שלומי שלומי            , 22832"
מירב הנדסה ניהול ופיקוח בעמ,,,
טוקר סטיוורט מורי ואניטה,,,
בית ספר אלאסבניול,http://www.guidestar.org.il/organization/512968918,"מטרות ציבוריות בלבד; להפעיל בתי ספר תיכון ויסודיים, כן מוסדות חינוך ולתת במסגרתו קורסים ושיעורים תרבותיים וחינוכיים בארץ. להפעיל, להקים ולנהל קורסים ושיעורים בלתי פורמאלים בתחום החינוך.","בית חנינה החדשה 0 ירושלים          , 97300"
חימא אלמשירפה אגודה שיתופית חקלאית,,,
קיפוד הזהב - פרס תיאטרון הפריינג (ע,http://www.guidestar.org.il/organization/580462760,לקבוע מדי שנה את הזוכים בפרסי תיאטרון הפריינג הישראלי ולחלק את הפרסים. להביא לחשיפת היצירה והעשייה התיאטרונית המרובה והמגוונת הקיימת בארץ. להעלות את נושא התיאטרון הישראלי על מרכז הבמה הציבורית ולהגביר את העניין של הציבור בתיאטרון.,"ליברמן 7 דינה זוהר תל אביב-יפו      , 64243"
כפרית תעשיות (1993) בעמ,,,
גלובל ורסה רדיולוגיה אחזקות בעמ,,,
ארנכסים בעמ,,,
מפעלי גבורה שבחסד מיסודו ולזכרו של,http://www.guidestar.org.il/organization/580207348,"תמיכה וסעד בהלבשה והנעלה למשפחות נצרכות. סיוע 
לחתנים בהלבשה ובמילגות. מתן עזרה לתלמידים 
בשיעורים פרטיים בשילוב מילגות לעידוד. מתן 
הלוואות לנצרכים. מימון מכשירי רפואה וטיפולים 
רפואיים. ארגון הרצאות,כנסים ומסיבות לתלמידים.","הדף היומי 15 מילר תל אביב-יפו      , 69440"
מ. חזן ובניו בעמ,,,
פורמקס תעשיות עץ בעמ,,,
עמותת חוויה במרחבים- העמותה למען הח,http://www.guidestar.org.il/organization/580120442,"לסייע, לטפח, לעודד ולקדם את ענייני הקשישים 
באזור מרחבים ולפעול לרווחתם, להנאתם ולתועלתם 
ע""י מתן סיוע רוחני, נפשי, כלכלי וחברתי.","ת.ד 82 מבועים           , 85360"
חמד ארגון חיילים משוחררים דתיים של,,,
ארגון מאור שלמה לתורה וחסד (ער),http://www.guidestar.org.il/organization/580289221,"הפצת היהדות בארץ ובתפוצות, 
מפעלי תרבות ורווחה.","רח' מבוא התנאים 4 ת""ד 3248 אשדוד            , 77652"
מוסד נור לחינוך בעמ (חלצ),http://www.guidestar.org.il/organization/514094036,"מטרות ציבוריות בלבד; פתיחת וניהול מוסדות חינוך, הכנת קורסים יישומיים לעובדי הוראה, פתיחת מסלולי לימודים לחינוך מבוגרים.","חגי 17 רמלה             , 72223"
אהל רבינו יונתן ובלומה,http://www.guidestar.org.il/organization/580235760,הקמת כולל אברכים פעולות תרבות תורנית.ללא ריבית או ריבית מינימלית.,"רחוב בר גיורא 18 אצל הרב אברהם דוד ליווי ירושלים          , 94672"
די. סי. תעשיות נייר ופלסטיק בעמ,,,
מרכז נר ישראל (ער),http://www.guidestar.org.il/organization/580390953,"עריכת שולחנות שבת במרכזי הערים. חלוקת נרות 
שבת וסדר הדלקת נרות ברחבי הארץ.חלוקת נרות שבת 
ותהילים בבתי חולים. סיוע לחולים ולמשפחותיהם. 
הדפסת חומר הסברה על חשיבות שמירת שבת. עריכת 
כנסים. הפקת סרטונים להסברה בנושא השבת.","רח' מעון 21 אצל מנלה חיים ערד              , 89053"
שעלבים קבוצת פועלי אגודת ישראל להתי,,,
משיב הרוח- לתרבות יהודית ישראלית (ע,http://www.guidestar.org.il/organization/580353597,"לפעול לקידום השירה, הספרות והאומנות היהודית 
ישראלית. להוציא כתב-עת לשירה, לספרות ולאומנות 
יהודית ישראלית. לפעול לעריכת ערבי שירה וספרות 
ארועי תרבות והפצת היצירה היהודית ישראלית 
בציבור.","ת.ד. 4193 ירושלים          , 91041"
עמותת הורים לחינוך פלורליסטי (ער),http://www.guidestar.org.il/organization/580400026,"קידום חינוך יהודי פלורליסטי באזור השרון.ביסוס 
חזון החברה הישראלית שבה כל יהודים ערבים זה 
לזה ומתחנכים ביחד באווירה של כבוד הדדי. הצבת 
אתגר לתלמידים לחזק ולבנות את זהותם היהודית 
האישית ע""י לימוד רלבנטי של מקורות מסורתיים.","שמואל הנגיד 37 רעננה            , 43420"
רצון יהודה - כולל ברוח הציונות הדתי,http://www.guidestar.org.il/organization/580122901,"לייסד,לנהל,לקיים,לפתח ולהחזיק כולל, ישיבה ובית מדרש ברוח הציונות הדתית לאומית. הכנת חומר לימוד תורני בכתב והוצאת כתבי עת תורניים. להושיט עזרה להעלאת רמתם הדתית, התרבותית והחינוכית של תושבי פתח-תקוה והסביבה.הוצאה לאור של ספרי הרב בלס על ''מורה נבוכים'' והרב אורי אורי רדמן על הרב אבא ציטרון. גמ""ח עזרה לנזקקים.","רובינא חנה 15 פתח תקווה        , 49737"
קרן תלפד,http://www.guidestar.org.il/organization/580017614,"לעודד ולקדם העליה של מתישבים לישראל ולפעול 
נגד הירידה של מתיישבים בישראל ע""י מתן עזרה כס 
פית וכן תמיכות וטובות הנאה בדרך של הלוואות 
מענקים או בכל דרך אחרת.","שברץ 19 אצל-הפדרציה הציונית ד.אפריקה רעננה            , 43212"
מדגריות נורדיה - אגודה שתופית חקלאי,,,
ההתאגדות לחינוך מבוגרים בישראל,http://www.guidestar.org.il/organization/580057867,"שיפור איכות העבודה בחינוך מבוגרים על-ידי 
בדיקה שיטות ותכנים, ע""י הכשרה והשתלמויות 
לעוסקים בתחומים השונים של חינוך מבוגרים, 
ע""י כל דרך אחרת שהאגודה תבחר בה.","אלון יגאל 30 מכללת תל אביב תל אביב-יפו      , 67726"
או.קי.ליין בעמ,,,
אלגדוול - אגודה שיתופית למים בכפר,,,
"כפר גדעון מושב דתי, אגודה שיתופית ב",,,
עלמה כהן בנקר בעמ,,,
גיי.וי.פי. נכסים בעמ,,,
אסטרון עבודות הנדסיות בעמ,,,
בית חבד מודיעין שעל ידי צעירי אגוד,,,
קיבוץ נחשון,,,
כהן אורי,http://www.guidestar.org.il/organization/580152502,"ליסד ולנהל כולל אברכים לתורה והוראה. 
ליסד ולנהל תלמודי תורה ישיבות קטנות וגבוהות 
ומתיבתות.","רחוב דון יוסף הנשיא 8 אצל פנחס כהן בני ברק          , 51547"
כולל תורה מירושלים (ער),http://www.guidestar.org.il/organization/580387389,"לנהל ולארגן כולל במערת המכפלה. להרבות תורה 
ותפילה בישראל. לייסד ולארגן שיעורי תורה, 
חבורות תהילים, כוללים, ישיבות ומוסדות תורניים 
לציבור הרחב. לקדם את החינוך בישראל. להקים 
מסגרות חינוכיות ותרבותיות לציבור.","קוטלר 7 משה הררי ירושלים          , 97274"
אופטואקוסטיקס בעמ,,,
שבולת בנגב - אגודה שיתופית בעמ,,,
"צפירה - אולפנת בני עקיבא, מוסד תיכו",http://www.guidestar.org.il/organization/580069557,"לייסד, לקיים, לבסס, להרחיב ולפתח מוסד 
דתי תורני תיכוני וחינוכי.","ת.ד 35 בית דגן          , 50250"
אילן ירון-חברה להנדסה בעמ,,,
גן ניצנים קרית אתא בעמ,http://www.guidestar.org.il/organization/580554830,גן ילדים המחנך את ילדי ישראל ברוח ובתאום תוכניות משרד החינוך.,"ורד 3 יעקב בקר קרית אתא         , 28502"
אורן 2005 - אגודה שיתופית חקלאית בע,,,
חמדת - אגודה שיתופית חקלאית להתישבו,,,
בן דוד יאיר,,,
אשפלסט מסחר ותעשיות פלסטיק 1999 בע,,,
מתתיהו דוד,http://www.guidestar.org.il/organization/580296572,"הקמת בית כנסת, כולל, ישיבה, גמ""ח ומילגות לאברכים.","אהלי יוסף 6 גוש 80 אצל מתתיהו חיים ירושלים          , 95319"
